Quarter,Time,Tm,Detail,BAL,CIN
1.0,0:17,Ravens,Anthony Allen 2 yard rush (Justin Tucker kick),7,0
2.0,0:39,Bengals,Marvin Jones 11 yard pass from Andy Dalton (Josh Brown kick),7,7
3.0,6:15,Bengals,Josh Brown 47 yard field goal,7,10
,2:24,Bengals,Josh Brown 32 yard field goal,7,13
4.0,12:50,Ravens,Tyrod Taylor 1 yard rush (Justin Tucker kick),14,13
,7:16,Bengals,Josh Brown 38 yard field goal,14,16
,6:06,Bengals,Carlos Dunlap 14 yard interception return (Josh Brown kick),14,23
,1:21,Ravens,Justin Tucker 49 yard field goal,17,23
