Quarter,Time,Down,ToGo,Location,BUF,TEN,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Bills won the coin toss and deferred, Titans to receive the opening kickoff.",,
1,15:00,,,BUF 35,0,0,"Stephen Hauschka kicks off 65 yards, touchback.",0.000,0.610
1,14:59,1,10,TEN 25,0,0,"Marcus Mariota pass complete deep left to Delanie Walker for 26 yards (tackle by Levi Wallace and Micah Hyde). Penalty on Taylor Lewan: Offensive Holding, 10 yards (no play)",0.610,-0.410
1,14:19,1,20,TEN 15,0,0,"Penalty on Rodger Saffold: False Start, 5 yards (no play)",-0.410,-0.950
1,14:03,1,25,TEN 10,0,0,Marcus Mariota left end for 3 yards (tackle by Jerry Hughes and Matt Milano),-0.950,-1.640
1,13:30,2,22,TEN 13,0,0,Marcus Mariota pass complete short middle to Adam Humphries for 10 yards (tackle by Tremaine Edmunds),-1.640,-0.890
1,12:55,3,12,TEN 23,0,0,Marcus Mariota pass complete short right to Delanie Walker for 10 yards (tackle by Tre'Davious White),-0.890,-1.180
1,12:11,4,2,TEN 33,0,0,Brett Kern punts 50 yards out of bounds,-1.180,0.060
1,12:04,1,10,BUF 17,0,0,Josh Allen pass complete short right to John Brown for 19 yards (tackle by Kevin Byard),-0.060,1.330
1,11:33,1,10,BUF 36,0,0,Josh Allen pass complete short right to Duke Williams for 4 yards (tackle by Logan Ryan),1.330,1.330
1,10:54,2,6,BUF 40,0,0,Frank Gore right tackle for -1 yards (tackle by Rashaan Evans),1.330,0.500
1,10:12,3,7,BUF 39,0,0,Josh Allen sacked by DaQuan Jones for no gain,0.500,-0.780
1,9:47,4,7,BUF 39,0,0,"Corey Bojorquez punts 61 yards, touchback.",-0.780,-0.280
1,9:37,1,10,TEN 20,0,0,Marcus Mariota pass complete short right to Corey Davis for 5 yards (tackle by Lorenzo Alexander),0.280,0.410
1,9:02,2,5,TEN 25,0,0,Derrick Henry up the middle for 2 yards (tackle by Jordan Poyer),0.410,-0.030
1,8:19,3,3,TEN 27,0,0,Marcus Mariota pass incomplete short right intended for Adam Humphries (defended by Tremaine Edmunds) (defended by Kevin Johnson),-0.030,-1.570
1,8:12,4,3,TEN 27,0,0,Brett Kern punts 48 yards out of bounds,-1.570,-0.610
1,8:05,1,10,BUF 25,0,0,Josh Allen pass complete short left to John Brown for 11 yards (tackle by Harold Landry),0.610,1.330
1,7:35,1,10,BUF 36,0,0,Frank Gore left tackle for 4 yards (tackle by Kenny Vaccaro),1.330,1.330
1,7:04,2,6,BUF 40,0,0,Josh Allen pass complete short left to John Brown for 10 yards (tackle by Logan Ryan),1.330,2.260
1,6:34,1,10,BUF 50,0,0,Josh Allen sacked by Logan Ryan for -5 yards,2.260,1.040
1,6:01,2,15,BUF 45,0,0,Josh Allen pass complete short middle to Frank Gore for 6 yards (tackle by Jayon Brown),1.040,1.160
1,5:22,3,9,TEN 49,0,0,Josh Allen pass complete short left to T.J. Yeldon for 8 yards (tackle by Malcolm Butler),1.160,0.530
1,4:55,4,1,TEN 41,0,0,Josh Allen up the middle for 2 yards (tackle by Harold Landry),0.530,2.980
1,4:16,1,10,TEN 39,0,0,Josh Allen pass incomplete short right intended for Tommy Sweeney,2.980,2.440
1,4:10,2,10,TEN 39,0,0,Josh Allen pass incomplete short right,2.440,1.750
1,3:59,3,10,TEN 39,0,0,Josh Allen pass complete short right to Cole Beasley for 8 yards (tackle by Adoree' Jackson and Rashaan Evans),1.750,1.400
1,3:16,4,2,TEN 31,0,0,Josh Allen up the middle for 1 yard (tackle by Jayon Brown),1.400,-0.940
1,3:12,1,10,TEN 30,0,0,Derrick Henry right end for 24 yards (tackle by Jordan Poyer and Micah Hyde),0.940,2.520
1,2:29,1,10,BUF 46,0,0,Marcus Mariota pass complete short left to Adam Humphries for 5 yards (tackle by Micah Hyde and Darryl Johnson),2.520,2.650
1,1:50,2,5,BUF 41,0,0,Marcus Mariota pass complete short middle to A.J. Brown for 14 yards (tackle by Micah Hyde),2.650,3.780
1,1:11,1,10,BUF 27,0,0,Derrick Henry left guard for 3 yards (tackle by Tremaine Edmunds and Star Lotulelei),3.780,3.640
1,0:42,2,7,BUF 24,0,0,Marcus Mariota pass incomplete deep left intended for Corey Davis (defended by Dean Marlowe),3.640,2.940
1,0:36,3,7,BUF 24,0,0,Marcus Mariota sacked by Jordan Phillips for -8 yards,2.940,1.240
Quarter,Time,Down,ToGo,Location,BUF,TEN,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,4,15,BUF 32,0,0,Cairo Santos 50 yard field goal no good,1.240,-1.600
2,14:55,1,10,BUF 40,0,0,Frank Gore right guard for 6 yards (tackle by Kamalei Correa and Logan Ryan),1.600,1.860
2,14:23,2,4,BUF 46,0,0,Josh Allen pass complete short middle to Duke Williams for 7 yards (tackle by Logan Ryan),1.860,2.460
2,13:41,1,10,TEN 47,0,0,Josh Allen pass incomplete short right,2.460,1.910
2,13:36,2,10,TEN 47,0,0,Josh Allen pass complete short right to T.J. Yeldon for no gain (tackle by Jayon Brown),1.910,1.220
2,12:53,3,10,TEN 47,0,0,Josh Allen up the middle for 4 yards (tackle by Rashaan Evans),1.220,0.400
2,12:17,4,6,TEN 43,0,0,"Corey Bojorquez punts 33 yards, muffed catch by Adam Humphries, recovered by Adam Humphries at TEN-10",0.400,0.380
2,12:03,1,10,TEN 10,0,0,Derrick Henry right guard for -4 yards (tackle by Trent Murphy),-0.380,-1.070
2,11:26,2,14,TEN 6,0,0,Marcus Mariota left end for 3 yards (tackle by Matt Milano),-1.070,-1.540
2,10:42,3,11,TEN 9,0,0,Marcus Mariota sacked by Lorenzo Alexander for -6 yards,-1.540,-2.490
2,10:11,4,17,TEN 3,0,0,"Brett Kern punts 48 yards, returned by Andre Roberts for no gain (tackle by MyCole Pruitt). Penalty on Isaiah McKenzie: Offensive Holding, 10 yards",-2.490,-1.530
2,10:02,1,10,BUF 39,0,0,Frank Gore left tackle for 5 yards (tackle by Kenny Vaccaro),1.530,1.660
2,9:23,2,5,BUF 44,0,0,Josh Allen pass complete short middle to Frank Gore for 3 yards (tackle by Rashaan Evans and Wesley Woodyard),1.660,1.360
2,8:36,3,2,BUF 47,0,0,Josh Allen pass complete short right to Cole Beasley for 6 yards (tackle by Rashaan Evans),1.360,2.460
2,8:06,1,10,TEN 47,0,0,Josh Allen up the middle for 1 yard (tackle by Harold Landry),2.460,2.050
2,7:25,2,9,TEN 46,0,0,Frank Gore right tackle for no gain (tackle by DaQuan Jones),2.050,1.350
2,6:52,3,9,TEN 46,0,0,Josh Allen pass incomplete short right intended for Dawson Knox (defended by Adoree' Jackson),1.350,0.200
2,6:47,4,9,TEN 46,0,0,"Penalty on Darryl Johnson: False Start, 5 yards (no play)",0.200,-0.130
2,6:47,4,14,BUF 49,0,0,"Corey Bojorquez punts 39 yards, fair catch by Adam Humphries at TEN-12",-0.130,0.350
2,6:40,1,10,TEN 12,0,0,Derrick Henry up the middle for 2 yards (tackle by Siran Neal),-0.350,-0.610
2,6:07,2,8,TEN 14,0,0,Marcus Mariota pass incomplete short right intended for Jonnu Smith,-0.610,-1.190
2,6:03,3,8,TEN 14,0,0,Marcus Mariota sacked by Jordan Phillips for -10 yards,-1.190,-2.490
2,5:29,4,18,TEN 4,0,0,Brett Kern punts 56 yards out of bounds,-2.490,-1.600
2,5:22,1,10,BUF 40,0,0,Josh Allen pass complete short left to John Brown for 14 yards (tackle by Malcolm Butler),1.600,2.520
2,4:43,1,10,TEN 46,0,0,Josh Allen pass complete short left to T.J. Yeldon for 4 yards (tackle by Jayon Brown),2.520,2.520
2,4:18,2,6,TEN 42,0,0,Frank Gore left guard for 2 yards (tackle by Austin Johnson),2.520,2.080
2,3:36,3,4,TEN 40,0,0,Josh Allen pass complete short left to Duke Williams for 11 yards (tackle by Malcolm Butler),2.080,3.640
2,3:09,1,10,TEN 29,0,0,Josh Allen pass complete deep left to John Brown for 21 yards (tackle by Malcolm Butler),3.640,5.370
2,2:41,1,8,TEN 8,6,0,"Josh Allen pass complete short left to Lee Smith for 8 yards, touchdown",5.370,7.000
2,2:36,,,TEN 15,7,0,Stephen Hauschka kicks extra point good,0.000,0.000
2,2:36,,,BUF 35,7,0,"Stephen Hauschka kicks off 65 yards, touchback.",0.000,0.610
2,2:36,1,10,TEN 25,7,0,Marcus Mariota pass complete short right to Dion Lewis for 9 yards (tackle by Ed Oliver),0.610,1.280
2,2:08,2,1,TEN 34,7,0,"Penalty on Jerry Hughes: Neutral Zone Infraction, 5 yards (no play)",1.280,1.530
2,2:00,1,10,TEN 39,7,0,Dion Lewis up the middle for 9 yards (tackle by Ed Oliver and Matt Milano),1.530,2.200
2,1:40,2,1,TEN 48,7,0,Dion Lewis up the middle for 2 yards (tackle by Matt Milano and Lorenzo Alexander),2.200,2.260
2,1:20,1,10,TEN 50,7,0,"Marcus Mariota pass complete short right to Corey Davis for 23 yards (tackle by Tre'Davious White). Penalty on Matt Milano: Roughing the Passer, 14 yards",2.260,4.710
2,1:08,1,10,BUF 13,7,0,Marcus Mariota sacked by Jordan Phillips for -5 yards,4.710,3.400
2,1:01,,,,,,Timeout #1 by Tennessee Titans,,
2,1:01,2,15,BUF 18,7,0,Marcus Mariota pass incomplete short right,3.400,2.790
2,0:54,3,15,BUF 18,7,0,Marcus Mariota pass incomplete short right intended for Dion Lewis,2.790,2.250
2,0:49,4,15,BUF 18,7,0,Cairo Santos 36 yard field goal no good,2.250,-0.670
2,0:44,1,10,BUF 26,7,0,"Penalty on BUF: Illegal Substitution, 5 yards (no play)",0.670,0.340
2,0:44,1,15,BUF 21,7,0,Josh Allen pass complete short right to Isaiah McKenzie for 6 yards (tackle by Harold Landry),0.340,0.270
Quarter,Time,Down,ToGo,Location,BUF,TEN,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,TEN 35,7,0,"Cairo Santos kicks off 65 yards, touchback.",0.000,0.610
3,15:00,1,10,BUF 25,7,0,Josh Allen pass complete short right to Dawson Knox for 5 yards (tackle by Logan Ryan),0.610,0.740
3,14:33,2,5,BUF 30,7,0,Frank Gore right tackle for 1 yard (tackle by Rashaan Evans),0.740,0.170
3,13:52,3,4,BUF 31,7,0,Josh Allen sacked by Harold Landry for -6 yards,0.170,-1.700
3,13:19,4,10,BUF 25,7,0,"Corey Bojorquez punts 64 yards, returned by Adam Humphries for 2 yards (tackle by Matt Milano)",-1.700,0.320
3,13:04,1,10,TEN 13,7,0,Derrick Henry up the middle for 2 yards (tackle by Lorenzo Alexander),-0.320,-0.570
3,12:30,2,8,TEN 15,7,0,Derrick Henry right guard for 5 yards (tackle by Ed Oliver and Tremaine Edmunds),-0.570,-0.590
