Unnamed: 0,BUF,TEN
First Downs,18,14
Rush-Yds-TDs,27-109-0,27-102-1
Cmp-Att-Yd-TD-INT,23-32-219-2-1,13-22-183-0-0
Sacked-Yards,4-15,5-33
Net Pass Yards,204,150
Total Yards,313,252
Fumbles-Lost,0-0,1-0
Turnovers,1,0
Penalties-Yards,11-78,8-60
Third Down Conv.,4-13,4-14
Fourth Down Conv.,1-2,0-0
Time of Possession,31:12,28:48
