Quarter,Time,Tm,Detail,BUF,TEN
2,2:36,Bills,Lee Smith 8 yard pass from Josh Allen (Stephen Hauschka kick),7,0
3,7:02,Titans,Derrick Henry 1 yard rush (Cairo Santos kick),7,7
4,9:46,Bills,Duke Williams 7 yard pass from Josh Allen (Stephen Hauschka kick),14,7
