Unnamed: 0,HOU,KAN
First Downs,14,20
Rush-Yds-TDs,24-73-0,32-126-2
Cmp-Att-Yd-TD-INT,15-25-271-1-0,23-34-240-0-1
Sacked-Yards,5-50,2-9
Net Pass Yards,221,231
Total Yards,294,357
Fumbles-Lost,2-1,1-1
Turnovers,1,2
Penalties-Yards,4-40,5-24
Third Down Conv.,4-12,7-15
Fourth Down Conv.,0-0,0-1
Time of Possession,27:48,32:12
