Quarter,Time,Tm,Detail,HOU,KAN
1.0,8:12,Texans,Randy Bullock 48 yard field goal,3,0
,2:43,Chiefs,Jamaal Charles 1 yard rush (Ryan Succop kick),3,7
2.0,14:54,Texans,DeAndre Hopkins 29 yard pass from Case Keenum (Randy Bullock kick),10,7
,0:56,Chiefs,Alex Smith 5 yard rush (Ryan Succop kick),10,14
3.0,9:24,Texans,Randy Bullock 21 yard field goal,13,14
,6:07,Chiefs,Ryan Succop 22 yard field goal,13,17
,4:21,Texans,Randy Bullock 47 yard field goal,16,17
