Quarter,Time,Tm,Detail,WAS,CAR
1.0,10:39,Panthers,Curtis Samuel 4 yard pass from Kyle Allen (Joey Slye kick),0,7
,5:18,Panthers,D.J. Moore 13 yard pass from Kyle Allen (Joey Slye kick),0,14
,3:09,Redskins,Dustin Hopkins 25 yard field goal,3,14
2.0,11:16,Redskins,Dustin Hopkins 42 yard field goal,6,14
,4:33,Redskins,Derrius Guice 1 yard rush (pass failed),12,14
3.0,8:33,Redskins,Dustin Hopkins 36 yard field goal,15,14
4.0,9:09,Redskins,Derrius Guice 1 yard rush (Dustin Hopkins kick),22,14
,4:26,Redskins,Adrian Peterson 12 yard rush (Dustin Hopkins kick),29,14
,1:51,Panthers,Kyle Allen 17 yard rush (Joey Slye kick),29,21
