Unnamed: 0,WAS,CAR
First Downs,20,22
Rush-Yds-TDs,30-248-3,20-65-1
Cmp-Att-Yd-TD-INT,13-25-147-0-0,27-46-278-2-1
Sacked-Yards,5-33,7-65
Net Pass Yards,114,213
Total Yards,362,278
Fumbles-Lost,2-0,2-1
Turnovers,0,2
Penalties-Yards,6-65,5-43
Third Down Conv.,3-11,5-16
Fourth Down Conv.,0-0,1-2
Time of Possession,30:37,29:23
