Quarter,Time,Down,ToGo,Location,DEN,CHI,Detail,EPB,EPA
2,13:07,4,8,DEN 6,7,7,"Riley Dixon punts 38 yards, fair catch by Trent Taylor at DEN-44",-2.490,-2.650
2,13:00,1,10,DEN 44,7,7,"Penalty on Tyler Scott: False Start, 5 yards (accepted) (no play)",2.650,2.320
2,13:00,1,15,DEN 49,7,7,Justin Fields pass complete short left to D.J. Moore for 24 yards (tackle by Damarri Mathis),2.320,3.910
2,12:27,1,10,DEN 25,7,7,Roschon Johnson right end for 3 yards (tackle by Alex Singleton and Damarri Mathis),3.910,3.770
2,11:50,2,7,DEN 22,7,13,"Justin Fields pass complete deep right to Cole Kmet for 22 yards, touchdown",3.770,7.000
2,11:44,,,DEN 15,7,14,Cairo Santos kicks extra point good,0.000,0.000
2,11:44,,,CHI 35,7,14,"Cairo Santos kicks off 65 yards, touchback.",0.000,0.610
2,11:44,1,10,DEN 25,7,14,Jaleel McLaughlin right tackle for 14 yards (tackle by Tremaine Edmunds and Jack Sanborn),0.610,1.530
2,11:07,1,10,DEN 39,7,14,Russell Wilson sacked by and Dominique Robinson for -9 yards and Zacch Pickens for -9 yards,1.530,-0.230
2,10:20,2,19,DEN 30,7,14,"Penalty on Mike McGlinchey: False Start, 5 yards (accepted) (no play)",-0.230,-0.900
2,9:58,2,24,DEN 25,7,14,Russell Wilson pass complete short middle to Courtland Sutton for 8 yards (tackle by Tremaine Edmunds),-0.900,-0.490
2,9:18,3,16,DEN 33,7,14,Russell Wilson pass complete short left to Samaje Perine for 12 yards (tackle by Tyrique Stevenson),-0.490,-0.390
2,8:38,4,4,DEN 45,7,14,"Riley Dixon punts 40 yards, fair catch by Trent Taylor at CHI-15",-0.390,0.220
2,8:35,1,10,CHI 15,7,14,Khalil Herbert right tackle for 24 yards (tackle by Delarrin Turner-Yell),-0.220,1.530
2,7:54,1,10,CHI 39,7,14,"Justin Fields pass complete deep left to Equanimeous St. Brown for 21 yards DEN challenged the pass completion ruling, and the play was upheld.",1.530,2.920
2,7:35,1,10,DEN 40,7,14,Justin Fields pass complete short right to Cole Kmet for 22 yards (tackle by Delarrin Turner-Yell),2.920,4.370
2,6:55,1,10,DEN 18,7,14,Khalil Herbert right tackle for 5 yards (tackle by Damarri Mathis),4.370,4.610
2,6:20,2,5,DEN 13,7,14,"Justin Fields pass incomplete short left intended for Cole Kmet. Penalty on Kareem Jackson: Defensive Pass Interference, 10 yards (accepted) (no play)",4.610,6.510
2,6:15,1,3,DEN 3,7,20,"Justin Fields pass complete short right to Cole Kmet for 3 yards, touchdown",6.510,7.000
2,6:08,,,DEN 15,7,21,Cairo Santos kicks extra point good,0.000,0.000
2,6:08,,,CHI 35,7,21,"Cairo Santos kicks off 65 yards, touchback.",0.000,0.610
2,6:08,1,10,DEN 25,7,21,Russell Wilson pass complete short left to Courtland Sutton for 6 yards (tackle by Tyrique Stevenson),0.610,0.870
2,5:33,2,4,DEN 31,7,21,Samaje Perine left guard for 5 yards (tackle by Justin Jones and T.J. Edwards),0.870,1.330
2,4:58,1,10,DEN 36,7,21,Russell Wilson pass complete short right to Nate Adkins for 2 yards (tackle by Terell Smith and T.J. Edwards),1.330,1.060
2,4:18,,,,,,Timeout #3 by Denver Broncos,,
2,4:18,2,8,DEN 38,7,21,Jaleel McLaughlin right end for 1 yard (tackle by T.J. Edwards),1.060,0.500
2,3:40,3,7,DEN 39,7,21,"Penalty on Lloyd Cushenberry: False Start, 5 yards (accepted) (no play)",0.500,-0.160
2,3:18,3,12,DEN 34,7,21,Russell Wilson scrambles right guard for 10 yards (tackle by Tremaine Edmunds),-0.160,-0.460
2,2:36,4,2,DEN 44,7,21,"Riley Dixon punts 40 yards, fair catch by Trent Taylor at CHI-16",-0.460,0.140
2,2:29,1,10,CHI 16,7,21,"Penalty on Larry Borom: False Start, 5 yards (accepted) (no play)",-0.140,-0.540
2,2:29,1,15,CHI 11,7,21,Justin Fields pass complete deep right to D.J. Moore for 24 yards (tackle by Delarrin Turner-Yell),-0.540,1.270
2,2:05,1,10,CHI 35,7,21,Roschon Johnson right guard for 1 yard (tackle by Zach Allen and Alex Singleton),1.270,0.860
2,2:00,2,9,CHI 36,7,21,Justin Fields pass complete short middle to Cole Kmet for 11 yards (tackle by Alex Singleton and Drew Sanders),0.860,2.060
2,1:26,1,10,CHI 47,7,21,Justin Fields sacked by Jonathon Cooper for -6 yards,2.060,0.710
2,0:59,2,16,CHI 41,7,21,Justin Fields pass complete short right to Roschon Johnson for 2 yards (tackle by Patrick Surtain),0.710,0.300
2,0:54,3,14,CHI 43,7,21,Justin Fields pass complete short left to Robert Tonyan for 9 yards (tackle by Ja'Quan McMillian and Alex Singleton),0.300,0.070
2,0:06,4,5,DEN 48,7,21,"Penalty on Lucas Patrick: False Start, 5 yards (accepted) (no play)",0.070,-0.260
2,0:06,,,,,,Timeout #1 by Chicago Bears,,
2,0:06,4,10,CHI 47,7,21,Justin Fields pass incomplete deep right (defended by Patrick Surtain),-0.260,2.060
Quarter,Time,Down,ToGo,Location,DEN,CHI,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,CHI 35,7,21,"Cairo Santos kicks off 65 yards, touchback.",0.000,0.610
3,15:00,1,10,DEN 25,7,21,Russell Wilson pass incomplete short right intended for Jerry Jeudy,0.610,0.060
3,14:54,2,10,DEN 25,7,21,Jaleel McLaughlin right guard for 9 yards (tackle by Elijah Hicks and Tremaine Edmunds),0.060,0.560
3,14:16,3,1,DEN 34,7,21,"Penalty on Quinn Meinerz: False Start, 5 yards (accepted) (no play)",0.560,-0.100
3,13:54,3,6,DEN 29,7,21,Russell Wilson pass incomplete deep left intended for Jerry Jeudy,-0.100,-1.440
3,13:46,4,6,DEN 29,7,21,"Riley Dixon punts 45 yards, returned by Trent Taylor for 8 yards (tackle by Michael Burton)",-1.440,-1.200
3,13:37,1,10,CHI 34,7,21,Khalil Herbert right guard for 4 yards (tackle by Kareem Jackson and Zach Allen),1.200,1.200
3,13:00,2,6,CHI 38,7,21,Khalil Herbert right guard for 4 yards (tackle by Kareem Jackson),1.200,1.030
3,12:17,3,2,CHI 42,7,21,Justin Fields pass complete short right to D.J. Moore for 8 yards (tackle by Ja'Quan McMillian),1.030,2.260
3,11:34,1,10,CHI 50,7,21,Justin Fields sacked by and Nik Bonitto for -8 yards and Zach Allen for -8 yards,2.260,0.630
3,10:40,2,18,CHI 42,7,21,Justin Fields pass complete short right to Cole Kmet for 8 yards (tackle by Drew Sanders),0.630,1.090
3,10:05,3,9,CHI 50,7,21,Justin Fields pass complete short left to D.J. Moore for 11 yards (tackle by Damarri Mathis),1.090,2.980
3,9:22,1,10,DEN 39,7,21,"Velus Jones right end for 10 yards (tackle by Randy Gregory). Penalty on Darnell Wright: Offensive Illegal Block Above the Waist, 10 yards (accepted)",2.980,2.980
3,8:57,1,10,DEN 39,7,21,Justin Fields pass complete short right to Marcedes Lewis for 8 yards (tackle by Alex Singleton and Jonathon Cooper),2.980,3.520
3,8:15,2,2,DEN 31,7,21,Khalil Herbert right guard for 2 yards (tackle by Delarrin Turner-Yell),3.520,3.640
3,7:34,1,10,DEN 29,7,21,Khalil Herbert left tackle for 3 yards (tackle by D.J. Jones and Ja'Quan McMillian),3.640,3.510
3,6:51,2,7,DEN 26,7,21,Justin Fields pass complete short right to Khalil Herbert for no gain (tackle by Alex Singleton and Ja'Quan McMillian),3.510,2.810
3,6:15,3,7,DEN 26,7,21,Justin Fields pass complete short right to Darnell Mooney for 17 yards (tackle by Delarrin Turner-Yell),2.810,5.140
3,5:36,1,9,DEN 9,7,21,Roschon Johnson right guard for 7 yards (tackle by Kareem Jackson),5.140,5.720
3,4:56,2,2,DEN 2,7,21,Roschon Johnson right tackle for no gain (tackle by Matt Henningsen and Alex Singleton),5.720,4.950
3,4:18,3,2,DEN 2,7,27,"Justin Fields pass complete short left to Khalil Herbert for 2 yards, touchdown",4.950,7.000
3,4:11,,,DEN 15,7,28,Cairo Santos kicks extra point good,0.000,0.000
3,4:11,,,CHI 35,7,28,"Cairo Santos kicks off 65 yards, touchback.",0.000,0.610
3,4:11,1,10,DEN 25,7,28,"Russell Wilson pass complete short right to Jaleel McLaughlin for 3 yards (tackle by Tyrique Stevenson). Penalty on Jaquan Brisker: Roughing the Passer, 15 yards (accepted)",0.610,1.800
3,3:45,1,10,DEN 43,7,28,Jaleel McLaughlin right end for 31 yards (tackle by Jaquan Brisker),1.800,3.840
3,3:06,1,10,CHI 26,7,28,Russell Wilson pass complete short right to Samaje Perine for 11 yards (tackle by Jaquan Brisker),3.840,4.580
3,2:25,1,10,CHI 15,7,28,"Penalty on Mike McGlinchey: False Start, 5 yards (accepted) (no play)",4.580,4.240
3,2:03,1,15,CHI 20,7,28,Russell Wilson pass complete short middle to Jaleel McLaughlin for 11 yards (tackle by T.J. Edwards),4.240,5.030
3,1:26,2,4,CHI 9,7,28,Samaje Perine right tackle for 3 yards (tackle by Jack Sanborn),5.030,4.900
3,0:47,3,1,CHI 6,7,28,Russell Wilson right guard for 2 yards (tackle by Justin Jones),4.900,6.280
3,0:20,1,4,CHI 4,13,28,"Russell Wilson pass complete short left to Brandon Johnson for 4 yards, touchdown",6.280,7.000
3,0:14,,,CHI 15,14,28,Wil Lutz kicks extra point good,0.000,0.000
3,0:14,,,DEN 35,14,28,"Wil Lutz kicks off 65 yards, touchback.",0.000,0.610
3,0:14,1,10,CHI 25,14,28,"Justin Fields pass incomplete short right intended for Robert Tonyan. Penalty on Patrick Surtain: Defensive Holding, 5 yards (accepted) (no play)",0.610,0.940
3,0:09,1,10,CHI 30,14,28,Roschon Johnson right guard for 2 yards (tackle by D.J. Jones),0.940,0.660
Quarter,Time,Down,ToGo,Location,DEN,CHI,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,2,8,CHI 32,14,28,Justin Fields scrambles left end for 3 yards (tackle by Zach Allen and Drew Sanders),0.660,0.370
4,14:15,3,5,CHI 35,14,28,Justin Fields pass incomplete short middle intended for Cole Kmet (defended by Delarrin Turner-Yell),0.370,-1.040
4,14:10,4,5,CHI 35,14,28,"Trenton Gill punts 56 yards, returned by Marvin Mims for 25 yards (tackle by Velus Jones)",-1.040,-1.200
4,13:56,1,10,DEN 34,14,28,Jaleel McLaughlin right tackle for 12 yards (tackle by Elijah Hicks and Jaquan Brisker),1.200,1.990
4,13:18,1,10,DEN 46,14,28,Russell Wilson pass incomplete short left,1.990,1.450
4,13:12,2,10,DEN 46,14,28,Russell Wilson pass complete short right to Jerry Jeudy for 9 yards (tackle by Tremaine Edmunds),1.450,1.950
4,12:38,3,1,CHI 45,14,28,"Penalty on Garett Bolles: False Start, 4 yards (accepted) (no play)",1.950,1.420
4,12:38,3,5,CHI 49,14,28,Russell Wilson pass complete deep left to Jerry Jeudy for 25 yards (tackle by Jaquan Brisker),1.420,3.970
4,11:53,1,10,CHI 24,14,28,Russell Wilson pass incomplete deep right,3.970,3.430
4,11:45,2,10,CHI 24,14,28,Jaleel McLaughlin right end for -1 yards (tackle by Terell Smith),3.430,2.610
4,11:04,3,11,CHI 25,14,28,Russell Wilson pass complete short middle to Lil'Jordan Humphrey for 11 yards (tackle by T.J. Edwards),2.610,4.650
4,10:25,1,10,CHI 14,14,28,Samaje Perine right guard for 1 yard (tackle by Justin Jones),4.650,4.160
4,9:47,2,9,CHI 13,14,28,Russell Wilson pass incomplete short right intended for Courtland Sutton,4.160,3.260
4,9:40,3,9,CHI 13,20,28,"Russell Wilson pass complete short middle to Courtland Sutton for 13 yards, touchdown",3.260,7.000
4,9:36,,,CHI 15,21,28,Wil Lutz kicks extra point good,0.000,0.000
4,9:36,,,DEN 35,21,28,"Wil Lutz kicks off 65 yards, touchback.",0.000,0.610
4,9:36,1,10,CHI 25,21,28,Justin Fields pass complete short right to Khalil Herbert for 7 yards (tackle by Drew Sanders),0.610,1.010
4,9:00,2,3,CHI 32,21,28,Khalil Herbert left guard for 5 yards (tackle by Drew Sanders),1.010,1.400
4,8:18,1,10,CHI 37,21,28,Tyler Scott for 8 yards (tackle by Patrick Surtain),1.400,1.940
4,7:42,2,2,CHI 45,21,28,Khalil Herbert left tackle for 7 yards (tackle by Kareem Jackson and Jonathan Harris),1.940,2.390
4,7:05,1,10,DEN 48,27,28,"Justin Fields sacked by Nik Bonitto for -17 yards. Justin Fields fumbles (forced by Nik Bonitto), recovered by Jonathon Cooper at CHI-35 and returned for 35 yards, touchdown",2.390,-7.000
4,6:55,,,CHI 15,28,28,Wil Lutz kicks extra point good,0.000,0.000
4,6:55,,,DEN 35,28,28,"Wil Lutz kicks off 65 yards, touchback.",0.000,0.610
4,6:55,1,10,CHI 25,28,28,"Justin Fields pass complete short right to Khalil Herbert for 10 yards (tackle by D.J. Jones). Penalty on Marcedes Lewis: Offensive Holding, 10 yards (accepted)",0.610,0.610
4,6:30,1,10,CHI 25,28,28,Khalil Herbert left guard for 5 yards (tackle by Kareem Jackson),0.610,0.740
4,5:53,2,5,CHI 30,28,28,Justin Fields pass incomplete short left intended for Khalil Herbert,0.740,0.040
4,5:49,3,5,CHI 30,28,28,"Penalty on Larry Borom: False Start, 5 yards (accepted) (no play)",0.040,-0.620
4,5:49,3,10,CHI 25,28,28,Justin Fields scrambles left end for 20 yards (tackle by Jonathon Cooper),-0.620,1.930
4,5:10,1,10,CHI 45,28,28,Khalil Herbert left tackle for 7 yards (tackle by Jonathan Harris and Kareem Jackson),1.930,2.330
4,4:36,2,3,DEN 48,28,28,Khalil Herbert right guard for 21 yards (tackle by Damarri Mathis and Randy Gregory),2.330,3.780
4,4:07,,,,,,Timeout #1 by Denver Broncos,,
4,4:07,1,10,DEN 27,28,28,"Khalil Herbert right end for 3 yards (tackle by Alex Singleton and Elijah Garcia). Penalty on Darnell Wright: Offensive Holding, 10 yards (accepted)",3.780,3.310
4,3:50,1,17,DEN 34,28,28,Khalil Herbert left tackle for 1 yard (tackle by D.J. Jones),3.310,2.420
4,3:24,2,16,DEN 33,28,28,Tyler Scott right end for 11 yards (tackle by Delarrin Turner-Yell),2.420,3.200
4,3:13,3,5,DEN 22,28,28,Khalil Herbert right tackle for 4 yards (tackle by Delarrin Turner-Yell and Jonathon Cooper),3.200,2.400
4,2:57,,,,,,Timeout #2 by Denver Broncos,,
4,2:57,,,,,,Timeout #1 by Chicago Bears,,
4,2:57,4,1,DEN 18,28,28,Khalil Herbert left tackle for no gain (tackle by Alex Singleton),2.400,-0.040
4,2:52,1,10,DEN 18,28,28,Russell Wilson pass complete deep right to Marvin Mims for 48 yards (tackle by Terell Smith),0.040,3.380
4,2:08,1,10,CHI 33,28,28,Samaje Perine right guard for 1 yard (tackle by Andrew Billings),3.380,2.970
4,2:00,2,9,CHI 32,28,28,Samaje Perine right end for -1 yards (tackle by Tremaine Edmunds and DeMarcus Walker),2.970,2.150
4,1:55,,,,,,Timeout #2 by Chicago Bears,,
4,1:55,3,10,CHI 33,28,28,Russell Wilson pass incomplete short left intended for Courtland Sutton (defended by Terell Smith),2.150,1.150
4,1:51,4,10,CHI 33,31,28,Wil Lutz 51 yard field goal good,1.150,3.000
4,1:46,,,DEN 35,31,28,"Wil Lutz kicks off 65 yards, touchback.",0.000,0.610
4,1:46,1,10,CHI 25,31,28,Justin Fields pass complete short middle to Cole Kmet for 11 yards (tackle by Alex Singleton),0.610,1.330
4,1:24,1,10,CHI 36,31,28,Justin Fields pass incomplete deep left,1.330,0.790
4,1:18,2,10,CHI 36,31,28,Justin Fields pass incomplete short middle intended for D.J. Moore (defended by Patrick Surtain),0.790,0.100
4,1:14,3,10,CHI 36,31,28,Justin Fields pass complete short left to D.J. Moore for 14 yards (tackle by Patrick Surtain),0.100,2.260
4,0:51,1,10,CHI 50,31,28,"Justin Fields pass incomplete short left. Penalty on Justin Fields: Intentional Grounding, 11 yards (accepted)",2.260,0.230
4,0:45,,,,,,Timeout #3 by Chicago Bears,,
4,0:45,2,21,CHI 39,31,28,Justin Fields pass complete short middle to Cole Kmet for 8 yards (tackle by Ja'Quan McMillian),0.230,0.560
4,0:38,3,14,CHI 47,31,28,Justin Fields pass deep middle intended for Cole Kmet is intercepted by Kareem Jackson at DEN-36 and returned for 5 yards,0.560,-1.660
4,0:32,1,10,DEN 41,31,28,Russell Wilson kneels for -1 yards,1.660,0.990
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
