Unnamed: 0,DEN,CHI
First Downs,17,26
Rush-Yds-TDs,19-97-0,31-171-0
Cmp-Att-Yd-TD-INT,21-28-223-3-0,28-35-335-4-1
Sacked-Yards,1-9,4-35
Net Pass Yards,214,300
Total Yards,311,471
Fumbles-Lost,0-0,1-1
Turnovers,0,2
Penalties-Yards,7-39,10-91
Third Down Conv.,6-11,6-12
Fourth Down Conv.,0-0,1-3
Time of Possession,26:11,33:49
