Quarter,Time,Down,ToGo,Location,KAN,TAM,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Chiefs won the coin toss, Chiefs to receive the opening kickoff.",,
1,15:00,,,TAM 30,0,0,"Martin Gramatica kicks off 70 yards, returned by Dante Hall for 23 yards (tackle by Greg Comella)",0.000,0.480
1,14:54,1,10,KAN 23,0,0,Priest Holmes for 3 yards (tackle by Chartric Darby),0.480,0.340
1,14:15,2,7,KAN 26,0,0,Priest Holmes for 6 yards (tackle by Greg Spires),0.340,0.430
1,13:38,3,1,KAN 32,0,0,Priest Holmes for 3 yards (tackle by Shelton Quarles),0.430,1.270
1,13:00,1,10,KAN 35,0,0,Trent Green pass complete to Eddie Kennison for 8 yards (tackle by Brian Kelly),1.270,1.800
1,12:28,2,2,KAN 43,0,0,Eddie Kennison for 15 yards (tackle by Derrick Brooks),1.800,2.790
1,11:48,1,10,TAM 42,0,0,Trent Green pass complete to Priest Holmes for 1 yard (tackle by Greg Spires),2.790,2.380
1,11:12,2,9,TAM 41,0,0,Trent Green pass complete to Eddie Kennison for 14 yards (tackle by Ronde Barber),2.380,3.780
1,10:32,1,10,TAM 27,0,0,Priest Holmes for 2 yards (tackle by Simeon Rice and Greg Spires),3.780,3.500
1,9:56,2,8,TAM 25,0,0,Trent Green pass incomplete intended for Chris Horn,3.500,2.810
1,9:50,3,8,TAM 25,6,0,"Trent Green pass complete to Johnnie Morton for 25 yards, touchdown",2.810,7.000
1,,,,TAM 2,7,0,Lawrence Tynes kicks extra point good,0.000,0.000
1,,,,KAN 30,7,0,"Lawrence Tynes kicks off 69 yards, returned by Torrie Cox for 26 yards (tackle by Greg Wesley)",0.000,0.740
1,9:33,1,10,TAM 27,7,0,Brian Griese pass complete to Ken Dilger for 9 yards (tackle by Eric Warfield),0.740,1.410
1,9:06,2,1,TAM 36,7,0,Brian Griese pass complete to Michael Clayton for 56 yards (tackle by Kawika Mitchell),1.410,5.370
1,8:13,1,8,KAN 8,7,0,Michael Pittman for no gain (tackle by Kawika Mitchell and Shawn Barber),5.370,4.570
1,7:47,2,8,KAN 8,7,6,"Brian Griese pass complete to Jameel Cook for 8 yards, touchdown",4.570,7.000
1,,,,KAN 2,7,7,Martin Gramatica kicks extra point good,0.000,0.000
1,,,,TAM 30,7,7,"Martin Gramatica kicks off 67 yards, returned by Dante Hall for 19 yards (tackle by Greg Comella). Penalty on Ronde Barber: Offside on Free Kick, 5 yards (no play)",0.000,0.000
1,,,,TAM 25,7,7,"Martin Gramatica kicks off 42 yards, returned by Chris Horn for 5 yards (tackle by Greg Comella)",0.000,1.470
1,7:20,1,10,KAN 38,7,7,Priest Holmes for -6 yards (tackle by Greg Spires),1.470,0.110
1,6:40,2,16,KAN 32,7,7,"Trent Green pass incomplete intended for Tony Gonzalez. Penalty on Brian Waters: Offensive Holding, 10 yards (no play)",0.110,-1.240
1,6:36,2,26,KAN 22,7,7,"Penalty on John Welbourn: False Start, 5 yards (no play)",-1.240,-2.060
1,6:34,2,31,KAN 17,7,7,"Trent Green pass complete to Priest Holmes for no gain. Penalty on Mario Edwards: Face Mask (15 Yards), 15 yards",-2.060,1.070
1,6:30,1,10,KAN 32,7,7,"Penalty on Simeon Rice: Neutral Zone Infraction, 5 yards (no play)",1.070,1.800
1,5:25,1,5,KAN 37,7,7,Trent Green pass complete to Tony Richardson for 1 yard (tackle by Brian Kelly),1.800,1.340
1,5:15,2,4,KAN 38,7,7,Priest Holmes for 2 yards (tackle by Chartric Darby and Derrick Brooks),1.340,0.890
1,4:47,3,2,KAN 40,7,7,"Trent Green pass complete to Priest Holmes for no gain (tackle by Anthony McFarland). Penalty on Will Shields: Illegal Block Above the Waist, 10 yards",0.890,-0.430
1,4:21,3,12,KAN 30,7,7,Trent Green pass complete to Eddie Kennison for 59 yards (tackle by Dwight Smith). Eddie Kennison fumbles (forced by Dwight Smith),-0.430,-0.870
1,3:56,1,10,TAM 29,7,7,Brian Griese pass incomplete intended for Michael Pittman,0.870,0.330
1,3:30,2,10,TAM 29,7,7,Brian Griese pass complete to Michael Pittman for 24 yards (tackle by Greg Wesley),0.330,2.460
1,2:50,1,10,KAN 47,7,7,Brian Griese pass complete to Will Heller for 22 yards (tackle by Jerome Woods),2.460,3.910
1,2:10,1,10,KAN 25,7,7,Michael Pittman for 6 yards (tackle by Jared Allen),3.910,4.200
1,1:55,2,4,KAN 19,7,7,"Brian Griese pass complete to Ken Dilger for 6 yards (tackle by Shawn Barber). Penalty on Michael Clayton: Unnecessary Roughness, 15 yards",4.200,3.710
