Unnamed: 0,KAN,TAM
First Downs,27,23
Rush-Yds-TDs,30-105-1,20-130-3
Cmp-Att-Yd-TD-INT,32-42-369-3-2,22-34-296-2-0
Sacked-Yards,2-15,1-8
Net Pass Yards,354,288
Total Yards,459,418
Fumbles-Lost,2-1,0-0
Turnovers,3,0
Penalties-Yards,10-97,10-95
Third Down Conv.,8-13,3-9
Fourth Down Conv.,0-1,1-1
Time of Possession,33:39,26:21
