Quarter,Time,Tm,Detail,MIN,BAL
1,10:34,Ravens,Justin Tucker 37 yard field goal,0,3
,8:32,Vikings,Justin Jefferson 50 yard pass from Kirk Cousins (Greg Joseph kick),7,3
2,13:15,Vikings,Kirk Cousins 1 yard rush (Greg Joseph kick),14,3
,1:25,Vikings,Greg Joseph 36 yard field goal,17,3
,0:19,Ravens,Devonta Freeman 5 yard pass from Lamar Jackson (Justin Tucker kick),17,10
3,14:47,Vikings,Kene Nwangwu 98 yard kickoff return (Greg Joseph kick),24,10
,8:39,Ravens,Patrick Ricard 1 yard pass from Lamar Jackson (Justin Tucker kick),24,17
4,9:19,Ravens,Devin Duvernay 5 yard pass from Lamar Jackson (Justin Tucker kick),24,24
,3:29,Ravens,Le'Veon Bell 1 yard rush (Justin Tucker kick),24,31
,1:03,Vikings,Adam Thielen 1 yard pass from Kirk Cousins (Greg Joseph kick),31,31
OT,0:16,Ravens,Justin Tucker 36 yard field goal,31,34
