Unnamed: 0,MIN,BAL
First Downs,13,36
Rush-Yds-TDs,24-131-1,45-247-1
Cmp-Att-Yd-TD-INT,17-28-187-2-0,27-41-266-3-2
Sacked-Yards,0-0,3-13
Net Pass Yards,187,253
Total Yards,318,500
Fumbles-Lost,0-0,0-0
Turnovers,0,2
Penalties-Yards,8-107,8-61
Third Down Conv.,5-14,6-15
Fourth Down Conv.,2-2,3-3
Time of Possession,23:40,46:04
