Unnamed: 0,MIN,CHI
First Downs,16,16
Rush-Yds-TDs,19-80-0,30-95-2
Cmp-Att-Yd-TD-INT,26-49-237-0-2,16-25-117-2-1
Sacked-Yards,4-34,3-20
Net Pass Yards,203,97
Total Yards,283,192
Fumbles-Lost,0-0,2-2
Turnovers,2,3
Penalties-Yards,14-91,8-58
Third Down Conv.,3-16,3-10
Fourth Down Conv.,1-4,0-1
Time of Possession,32:22,27:38
