#,Quarter,Time,LOS,Plays,Length,Net Yds,Result
1,1,10:20,CHI 18,6,2:17,10,Punt
2,1,5:20,CHI 20,5,2:41,10,Punt
3,2,14:50,CHI 42,2,0:37,4,Fumble
4,2,6:55,CHI 20,3,1:26,8,Punt
5,2,3:17,MIN 49,8,2:40,49,Touchdown
6,3,15:00,CHI 36,4,1:36,12,Fumble
7,3,10:33,CHI 22,3,1:13,-6,Punt
8,3,8:04,MIN 3,2,0:36,3,Touchdown
9,3,6:44,CHI 33,5,3:33,13,Punt
10,3,1:46,CHI 38,7,3:43,62,Touchdown
11,4,11:57,CHI 26,6,3:58,25,Interception
12,4,7:07,MIN 20,4,2:04,9,Downs
13,4,4:15,MIN 1,1,0:04,1,Touchdown
14,4,1:10,CHI 30,2,1:10,-2,End of Game
