#,Quarter,Time,LOS,Plays,Length,Net Yds,Result
1,1,11:56,PIT 39,12,6:18,50,Field Goal
2,1,2:41,PIT 25,3,2:07,4,Punt
3,2,11:25,PIT 20,3,1:46,8,Punt
4,2,9:29,PIT 25,3,1:36,2,Punt
5,2,7:20,PIT 25,9,3:41,60,Missed FG
6,2,1:02,PIT 27,2,0:47,10,Interception
7,3,15:00,PIT 25,8,4:22,55,Downs
8,3,5:19,PIT 20,10,5:19,53,Missed FG
9,4,14:03,PIT 25,10,3:47,45,Downs
10,4,8:26,PIT 20,3,0:59,0,Punt
11,4,6:26,PIT 20,12,5:26,54,Downs
