Quarter,Time,Tm,Detail,PIT,BUF
1.0,13:56,Bills,Gabriel Davis 98 yard pass from Josh Allen (Tyler Bass kick),0,7
,5:38,Steelers,Chris Boswell 29 yard field goal,3,7
,2:41,Bills,Tyler Bass 35 yard field goal,3,10
2.0,9:29,Bills,Gabriel Davis 62 yard pass from Josh Allen (Tyler Bass kick),3,17
,7:20,Bills,Stefon Diggs 15 yard pass from Josh Allen (Tyler Bass kick),3,24
,1:02,Bills,Khalil Shakir 24 yard pass from Josh Allen (Tyler Bass kick),3,31
4.0,14:03,Bills,James Cook 24 yard rush (Tyler Bass kick),3,38
