Unnamed: 0,PIT,BUF
First Downs,23,21
Rush-Yds-TDs,17-54-0,18-120-1
Cmp-Att-Yd-TD-INT,34-52-327-0-1,22-36-432-4-1
Sacked-Yards,3-17,0-0
Net Pass Yards,310,432
Total Yards,364,552
Fumbles-Lost,1-1,1-1
Turnovers,2,2
Penalties-Yards,6-54,5-28
Third Down Conv.,5-15,5-9
Fourth Down Conv.,0-3,0-0
Time of Possession,36:08,23:52
