Quarter,Time,Down,ToGo,Location,KAN,BAL,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Chiefs won the coin toss, Chiefs to receive the opening kickoff.",,
1,15:00,,,BAL 30,0,0,"Wade Richey kicks off 66 yards, returned by Dante Hall for 11 yards (tackle by Bart Scott)",0.000,0.220
1,14:56,1,10,KAN 15,0,0,Priest Holmes up the middle for 9 yards (tackle by Adalius Thomas),-0.220,0.620
1,14:22,2,1,KAN 24,0,0,Tony Richardson right guard for 4 yards (tackle by Ray Lewis and Peter Boulware),0.620,0.810
1,13:42,1,10,KAN 28,0,0,Trent Green pass complete to Johnnie Morton for 16 yards (tackle by Corey Fuller),0.810,1.860
1,13:04,1,10,KAN 44,0,0,Dante Hall right end for 7 yards (tackle by Chris McAlister),1.860,2.260
1,12:36,2,3,BAL 49,0,0,Trent Green pass incomplete intended for Johnnie Morton (defended by Corey Fuller),2.260,1.550
1,12:26,3,3,BAL 49,0,0,Trent Green pass incomplete intended for Tony Gonzalez,1.550,0.000
1,12:22,4,3,BAL 49,0,0,"Jason Baker punts 32 yards, fair catch by Lamont Brightful",0.000,0.060
1,12:15,1,10,BAL 17,0,0,Jamal Lewis up the middle for 2 yards (tackle by Mike Maslowski and Scott Fujita),-0.060,-0.250
1,11:41,2,8,BAL 19,0,0,Kyle Boller pass complete to Jamal Lewis for 26 yards (tackle by Greg Wesley),-0.250,1.930
1,10:51,1,10,BAL 45,0,0,Kyle Boller pass incomplete intended for Todd Heap is intercepted by Greg Wesley at KAN-7,1.930,0.380
1,10:35,1,10,KAN 7,0,0,Priest Holmes left end for 4 yards (tackle by Ed Hartwell),-0.380,-0.490
1,10:06,2,6,KAN 11,0,0,Trent Green pass complete to Tony Richardson for 7 yards (tackle by Ray Lewis),-0.490,0.040
1,9:24,1,10,KAN 18,0,0,Priest Holmes right tackle for -1 yards (tackle by Kelly Gregg and Ed Hartwell),0.040,-0.650
1,8:44,2,11,KAN 17,0,0,Trent Green pass incomplete intended for Derrick Blaylock (defended by Ray Lewis),-0.650,-1.340
1,8:35,3,11,KAN 17,0,0,Trent Green pass incomplete intended for Marc Boerigter,-1.340,-2.320
1,8:30,4,11,KAN 17,0,0,Jason Baker punts 12 yards,-2.320,-3.640
1,8:17,1,10,KAN 29,0,0,Jamal Lewis right tackle for 5 yards (tackle by Ryan Sims and Shawn Barber),3.640,3.780
1,7:43,2,5,KAN 24,0,0,Jamal Lewis left tackle for 7 yards (tackle by Mike Maslowski),3.780,4.440
1,7:02,1,10,KAN 17,0,0,Jamal Lewis left end for -3 yards (tackle by Dexter McCleon and Vonnie Holliday),4.440,3.490
1,6:35,2,13,KAN 20,0,0,Chester Taylor left guard for 4 yards (tackle by John Browning),3.490,3.190
1,5:55,3,9,KAN 16,0,0,Kyle Boller pass complete to Chester Taylor for 8 yards (tackle by John Browning),3.190,2.990
1,5:17,4,1,KAN 8,0,0,Jamal Lewis left end for no gain (tackle by Dexter McCleon),2.990,0.380
1,5:09,1,10,KAN 9,0,0,Trent Green pass complete to Tony Gonzalez for 4 yards (tackle by Ed Reed),-0.380,-0.480
1,4:38,2,6,KAN 13,0,0,Priest Holmes up the middle for 5 yards (tackle by Corey Fuller and Ray Lewis),-0.480,-0.370
1,3:50,3,1,KAN 18,0,0,Priest Holmes left guard for no gain (tackle by Ray Lewis and Kelly Gregg),-0.370,-2.240
1,3:25,4,1,KAN 18,0,0,"Jason Baker punts 68 yards, returned by Lamont Brightful for 15 yards (tackle by Derrick Blaylock)",-2.240,-0.870
1,3:02,1,10,BAL 29,0,0,Travis Taylor left end for 16 yards (tackle by Greg Wesley),0.870,1.930
1,2:40,1,10,BAL 45,0,0,Kyle Boller pass complete to Travis Taylor for 8 yards (tackle by Mike Maslowski),1.930,2.460
1,1:58,2,2,KAN 47,0,0,Kyle Boller pass complete to Jamal Lewis for 4 yards (tackle by Shawn Barber),2.460,2.720
1,1:18,1,10,KAN 43,0,0,Jamal Lewis up the middle for 1 yard (tackle by Mike Maslowski and John Browning),2.720,2.310
1,0:43,2,9,KAN 42,0,0,Jamal Lewis left tackle for no gain (tackle by John Browning),2.310,1.620
Quarter,Time,Down,ToGo,Location,KAN,BAL,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,3,9,KAN 42,0,0,Kyle Boller pass complete to Alan Ricard for 1 yard (tackle by Mike Maslowski),1.620,0.530
2,14:28,4,8,KAN 41,0,0,"Dave Zastudil punts 30 yards, fair catch by Dante Hall",0.530,0.370
