Quarter,Time,Tm,Detail,KAN,BAL
2.0,3:23,Chiefs,Morten Andersen 46 yard field goal,3,0
3.0,10:01,Ravens,Matt Stover 29 yard field goal,3,3
,5:43,Chiefs,Tony Gonzalez 1 yard pass from Trent Green (Morten Andersen kick),10,3
4.0,5:27,Ravens,Jamal Lewis 1 yard rush (Matt Stover kick),10,10
,5:08,Chiefs,Dante Hall 97 yard kickoff return (Morten Andersen kick),17,10
