Quarter,Time,Tm,Detail,TAM,WAS
1.0,0:15,Redskins,John Hall 33 yard field goal,0,3
2.0,6:23,Buccaneers,Todd Yoder 1 yard pass from Brad Johnson (Martin Gramatica kick),7,3
,0:14,Redskins,Darnerien McCants 2 yard pass from Patrick Ramsey (John Hall kick),7,10
3.0,10:21,Redskins,John Hall 51 yard field goal,7,13
,6:26,Buccaneers,Todd Yoder 11 yard pass from Brad Johnson (Martin Gramatica kick),14,13
4.0,13:31,Buccaneers,Will Heller 4 yard pass from Brad Johnson (Martin Gramatica kick),21,13
,8:48,Buccaneers,Keyshawn Johnson 39 yard pass from Brad Johnson (Martin Gramatica kick),28,13
,6:55,Buccaneers,Derrick Brooks 44 yard interception return (Martin Gramatica kick),35,13
