Unnamed: 0,TAM,WAS
First Downs,25,19
Rush-Yds-TDs,25-111-0,23-68-0
Cmp-Att-Yd-TD-INT,22-30-268-4-0,25-36-246-1-2
Sacked-Yards,0-0,6-39
Net Pass Yards,268,207
Total Yards,379,275
Fumbles-Lost,2-0,2-1
Turnovers,0,3
Penalties-Yards,6-59,9-72
Third Down Conv.,6-10,9-16
Fourth Down Conv.,0-0,0-1
Time of Possession,29:03,30:57
