Quarter,Time,Tm,Detail,TAM,NWE
1.0,4:49,Buccaneers,Ryan Succop 29 yard field goal,3,0
2.0,8:28,Patriots,Hunter Henry 11 yard pass from Mac Jones (Nick Folk kick),3,7
,0:13,Buccaneers,Ryan Succop 44 yard field goal,6,7
3.0,3:29,Buccaneers,Ronald Jones II 8 yard rush (Ryan Succop kick),13,7
4.0,14:57,Patriots,Jonnu Smith 1 yard pass from Mac Jones (Nick Folk kick),13,14
,7:58,Buccaneers,Ryan Succop 27 yard field goal,16,14
,4:34,Patriots,Nick Folk 27 yard field goal,16,17
,1:57,Buccaneers,Ryan Succop 48 yard field goal,19,17
