Quarter,Time,Tm,Detail,LAR,SEA
1.0,3:52,Rams,Matt Gay 40 yard field goal,3,0
2.0,10:29,Seahawks,Jason Myers 50 yard field goal,3,3
,7:51,Rams,Matt Gay 39 yard field goal,6,3
,6:40,Rams,Darious Williams 42 yard interception return (Matt Gay kick),13,3
,3:43,Seahawks,D.K. Metcalf 51 yard pass from Russell Wilson (Jason Myers kick),13,10
,1:57,Rams,Cam Akers 5 yard rush (Matt Gay kick),20,10
3.0,13:45,Seahawks,Jason Myers 52 yard field goal,20,13
4.0,11:33,Rams,Matt Gay 36 yard field goal,23,13
,4:46,Rams,Robert Woods 15 yard pass from Jared Goff (Matt Gay kick),30,13
,2:28,Seahawks,D.K. Metcalf 12 yard pass from Russell Wilson (Jason Myers kick),30,20
