Unnamed: 0,LAR,SEA
First Downs,16,11
Rush-Yds-TDs,43-164-1,25-136-0
Cmp-Att-Yd-TD-INT,12-25-184-1-0,11-27-174-2-1
Sacked-Yards,3-15,5-32
Net Pass Yards,169,142
Total Yards,333,278
Fumbles-Lost,0-0,1-1
Turnovers,0,2
Penalties-Yards,2-15,9-60
Third Down Conv.,3-15,2-14
Fourth Down Conv.,0-2,1-2
Time of Possession,33:39,26:21
