Unnamed: 0,PIT,CLE
First Downs,18,17
Rush-Yds-TDs,16-58-0,35-104-1
Cmp-Att-Yd-TD-INT,23-44-221-1-4,17-32-193-2-0
Sacked-Yards,4-43,1-4
Net Pass Yards,178,189
Total Yards,236,293
Fumbles-Lost,1-0,0-0
Turnovers,4,0
Penalties-Yards,6-41,8-121
Third Down Conv.,2-11,6-16
Fourth Down Conv.,0-3,0-0
Time of Possession,26:02,33:58
