Quarter,Time,Tm,Detail,PIT,CLE
1,11:07,Browns,Baker Mayfield 1 yard rush (Austin Seibert kick),0,7
2,9:55,Browns,Jarvis Landry 1 yard pass from Baker Mayfield (Austin Seibert kick),0,14
3,5:39,Steelers,Jaylen Samuels 3 yard pass from Mason Rudolph (Chris Boswell kick),7,14
4,5:25,Browns,Stephen Carlson 8 yard pass from Baker Mayfield (Austin Seibert kick),7,21
