Quarter,Time,Tm,Detail,NYG,DAL
1.0,13:31,Giants,Plaxico Burress 60 yard pass from Eli Manning (Lawrence Tynes kick failed),6,0
,6:32,Cowboys,Nick Folk 31 yard field goal,6,3
2.0,9:40,Cowboys,Marion Barber III 18 yard rush (Nick Folk kick),6,10
,3:59,Cowboys,Jason Witten 12 yard pass from Tony Romo (Nick Folk kick),6,17
,0:21,Giants,Plaxico Burress 4 yard pass from Eli Manning (Lawrence Tynes kick),13,17
,0:03,Giants,Lawrence Tynes 44 yard field goal,16,17
3.0,12:00,Cowboys,Terrell Owens 22 yard pass from Tony Romo (Nick Folk kick),16,24
,5:47,Giants,Lawrence Tynes 48 yard field goal,19,24
,1:12,Cowboys,Tony Romo 9 yard rush (Nick Folk kick),19,31
4.0,13:23,Giants,Lawrence Tynes 24 yard field goal,22,31
,11:43,Cowboys,Terrell Owens 47 yard pass from Tony Romo (Nick Folk kick),22,38
,7:20,Giants,Derrick Ward 9 yard pass from Eli Manning (pass failed),28,38
,4:09,Giants,Plaxico Burress 10 yard pass from Eli Manning (Lawrence Tynes kick),35,38
,3:03,Cowboys,Sam Hurd 51 yard pass from Tony Romo (Nick Folk kick),35,45
