Unnamed: 0,CAR,WAS
First Downs,22,18
Rush-Yds-TDs,33-148-0,13-29-1
Cmp-Att-Yd-TD-INT,21-37-300-2-0,32-47-315-0-1
Sacked-Yards,2-10,1-9
Net Pass Yards,290,306
Total Yards,438,335
Fumbles-Lost,1-0,2-2
Turnovers,0,3
Penalties-Yards,6-62,7-70
Third Down Conv.,4-15,2-12
Fourth Down Conv.,0-0,1-1
Time of Possession,34:39,25:21
