Unnamed: 0,TEN,CIN
First Downs,16,11
Rush-Yds-TDs,41-177-1,28-88-1
Cmp-Att-Yd-TD-INT,14-21-128-1-0,16-27-134-0-2
Sacked-Yards,1-10,1-7
Net Pass Yards,118,127
Total Yards,295,215
Fumbles-Lost,2-1,3-0
Turnovers,1,2
Penalties-Yards,5-25,5-35
Third Down Conv.,4-13,3-13
Fourth Down Conv.,0-2,2-2
Time of Possession,32:34,27:26
