Unnamed: 0,OAK,DEN
First Downs,8,20
Rush-Yds-TDs,23-27-0,21-34-0
Cmp-Att-Yd-TD-INT,12-29-135-2-0,35-51-308-0-0
Sacked-Yards,3-36,5-32
Net Pass Yards,99,276
Total Yards,126,310
Fumbles-Lost,3-0,4-2
Turnovers,0,2
Penalties-Yards,10-70,4-27
Third Down Conv.,3-15,4-18
Fourth Down Conv.,0-0,1-3
Time of Possession,24:02,35:58
