Quarter,Time,Tm,Detail,NOR,TAM
1.0,8:05,Buccaneers,Roberto Aguayo 41 yard field goal,0,3
2.0,14:50,Buccaneers,Doug Martin 1 yard rush (Roberto Aguayo kick),0,10
,8:26,Buccaneers,Roberto Aguayo 39 yard field goal,0,13
,5:29,Saints,Wil Lutz 42 yard field goal,3,13
,5:20,Saints,"Safety, Doug Martin tackled in end zone by Paul Kruger",5,13
,0:00,Saints,Wil Lutz 34 yard field goal,8,13
3.0,3:35,Saints,Wil Lutz 22 yard field goal,11,13
4.0,12:46,Buccaneers,Roberto Aguayo 26 yard field goal,11,16
