Unnamed: 0,NOR,TAM
First Downs,14,21
Rush-Yds-TDs,16-46-0,35-104-1
Cmp-Att-Yd-TD-INT,25-41-257-0-3,16-26-184-0-0
Sacked-Yards,1-9,2-18
Net Pass Yards,248,166
Total Yards,294,270
Fumbles-Lost,0-0,0-0
Turnovers,3,0
Penalties-Yards,13-104,7-65
Third Down Conv.,4-13,6-13
Fourth Down Conv.,1-2,0-0
Time of Possession,26:45,33:15
