Quarter,Time,Tm,Detail,LAC,MIA
1.0,10:12,Chargers,Ty Long 44 yard field goal,3,0
,6:32,Dolphins,DeVante Parker 34 yard pass from Josh Rosen (Jason Sanders kick),3,7
,2:45,Chargers,Troymaine Pope 13 yard pass from Philip Rivers (Ty Long kick),10,7
2.0,11:10,Dolphins,Jason Sanders 30 yard field goal,10,10
,0:43,Chargers,Austin Ekeler 18 yard pass from Philip Rivers (Ty Long kick),17,10
3.0,1:22,Chargers,Ty Long 45 yard field goal,20,10
4.0,11:20,Chargers,Austin Ekeler 1 yard rush (Ty Long kick),27,10
,7:21,Chargers,Ty Long 51 yard field goal,30,10
