Quarter,Time,Down,ToGo,Location,LAC,MIA,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Dolphins won the coin toss and deferred, Chargers to receive the opening kickoff.",,
1,15:00,,,MIA 35,0,0,"Jason Sanders kicks off 65 yards, touchback.",0.000,0.610
1,15:00,1,10,LAC 25,0,0,Austin Ekeler right tackle for 3 yards (tackle by Davon Godchaux and Raekwon McMillan),0.610,0.470
1,14:15,2,7,LAC 28,0,0,Philip Rivers pass complete deep left to Lance Kendricks for 24 yards (tackle by Eric Rowe),0.470,2.390
1,13:34,1,10,MIA 48,0,0,Troymaine Pope right tackle for 8 yards (tackle by Reshad Jones and Eric Rowe),2.390,2.930
1,12:53,2,2,MIA 40,0,0,Philip Rivers pass complete short middle to Dontrelle Inman for 13 yards (tackle by Trent Harris),2.930,3.780
1,12:18,1,10,MIA 27,0,0,"Tyrod Taylor right tackle for 2 yards (tackle by Taco Charlton and Raekwon McMillan). Penalty on Dan Feeney: Offensive Holding, 10 yards",3.780,3.250
1,11:50,1,18,MIA 35,0,0,Philip Rivers pass complete short left to Austin Ekeler for 8 yards (tackle by Raekwon McMillan and Xavien Howard),3.250,3.230
1,11:05,2,10,MIA 27,0,0,Philip Rivers pass complete short middle to Geremy Davis for 6 yards (tackle by Jerome Baker),3.230,3.340
1,10:21,3,4,MIA 21,0,0,Philip Rivers pass incomplete short middle intended for Lance Kendricks (defended by Reshad Jones),3.340,2.130
1,10:17,4,4,MIA 21,0,0,"Penalty on LAC: Delay of Game, 5 yards (no play)",2.130,1.740
1,10:17,4,9,MIA 26,3,0,Ty Long 44 yard field goal good,1.740,3.000
1,10:12,,,LAC 35,3,0,"Ty Long kicks off 65 yards, touchback.",0.000,0.610
1,10:12,1,10,MIA 25,3,0,Josh Rosen pass complete short left to Kenyan Drake for 7 yards (tackle by Rayshawn Jenkins),0.610,1.010
1,9:37,2,3,MIA 32,3,0,"Kenyan Drake right tackle for 19 yards (tackle by Rayshawn Jenkins) Penalty on MIA: Illegal Formation, 5 yards (no play)",1.010,0.330
1,9:09,2,8,MIA 27,3,0,Kalen Ballage left tackle for 6 yards (tackle by Joey Bosa and Thomas Davis),0.330,0.430
1,8:31,3,2,MIA 33,3,0,Josh Rosen pass complete deep right to Preston Williams for 25 yards (tackle by Roderic Teamer and Rayshawn Jenkins),0.430,2.790
1,7:51,1,10,LAC 42,3,0,Preston Williams sacked by Isaac Rochell for -1 yards,2.790,2.110
