Unnamed: 0,MIN,DET
First Downs,18,17
Rush-Yds-TDs,25-112-1,34-129-0
Cmp-Att-Yd-TD-INT,24-28-169-2-0,18-30-152-1-2
Sacked-Yards,3-16,2-16
Net Pass Yards,153,136
Total Yards,265,265
Fumbles-Lost,2-1,2-1
Turnovers,1,3
Penalties-Yards,5-43,6-45
Third Down Conv.,3-11,5-13
Fourth Down Conv.,1-1,2-2
Time of Possession,29:35,30:25
