Quarter,Time,Down,ToGo,Location,MIN,DET,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Vikings won the coin toss, Vikings to receive the opening kickoff.",,
1,15:00,,,DET 30,0,0,"Jason Hanson kicks off 69 yards, returned by Percy Harvin for 23 yards (tackle by Jordon Dizon)",0.000,0.540
1,14:54,1,10,MIN 24,0,0,Adrian Peterson right tackle for 5 yards (tackle by Dewayne White),0.540,0.670
1,14:16,2,5,MIN 29,0,0,Brett Favre pass complete short left to Adrian Peterson for 5 yards (tackle by Ernie Sims),0.670,1.200
1,13:29,1,10,MIN 34,0,0,Adrian Peterson left end for 2 yards (tackle by Dewayne White),1.200,0.930
1,12:47,2,8,MIN 36,0,0,Brett Favre pass complete short right to Adrian Peterson for 5 yards (tackle by Larry Foote),0.930,0.890
1,12:03,3,3,MIN 41,0,0,Brett Favre pass complete short middle to Bernard Berrian for 11 yards (tackle by Anthony Henry and Ernie Sims),0.890,2.390
1,11:34,,,,0,0,Timeout #1 by Minnesota Vikings,0.000,2.390
1,11:34,1,10,DET 48,0,0,"Adrian Peterson right tackle for no gain. Adrian Peterson fumbles, recovered by Ernie Sims at DET-48 (tackle by Anthony Herrera)",2.390,-2.130
1,11:26,1,10,DET 48,0,0,Calvin Johnson right end for 11 yards (tackle by Ray Edwards and Tyrell Johnson),2.130,2.850
1,10:54,1,10,MIN 41,0,0,"Penalty on Stephen Peterman: False Start, 5 yards (no play)",2.850,2.520
1,10:38,1,15,MIN 46,0,0,Kevin Smith left tackle for 2 yards (tackle by Ray Edwards),2.520,1.900
1,10:07,2,13,MIN 44,0,0,Matthew Stafford pass complete short right to Brandon Pettigrew for 8 yards (tackle by Chad Greenway),1.900,2.280
1,9:40,3,5,MIN 36,0,0,Matthew Stafford pass complete short middle to Calvin Johnson for 6 yards (tackle by Antoine Winfield),2.280,3.580
1,9:08,1,10,MIN 30,0,0,Kevin Smith right tackle for no gain (tackle by Antoine Winfield),3.580,3.030
1,8:36,2,10,MIN 30,0,0,Yamon Figurs right end for -2 yards (tackle by Madieu Williams),3.030,2.080
1,7:54,3,12,MIN 32,0,0,Matthew Stafford pass complete short right to Brandon Pettigrew for 11 yards (tackle by Ben Leber),2.080,2.210
1,7:06,4,1,MIN 21,0,0,Kevin Smith left tackle for 4 yards (tackle by E.J. Henderson),2.210,4.440
1,6:32,1,10,MIN 17,0,0,Kevin Smith middle for -2 yards (tackle by Jared Allen),4.440,3.600
1,5:51,2,12,MIN 19,0,0,Aaron Brown left tackle for 7 yards (tackle by Benny Sapp),3.600,3.880
1,5:14,3,5,MIN 12,0,0,Matthew Stafford pass incomplete short right intended for Calvin Johnson,3.880,2.680
1,5:09,4,5,MIN 12,0,3,Jason Hanson 30 yard field goal good,2.680,3.000
1,,,,DET 30,0,3,"Jason Hanson kicks off 69 yards, returned by Percy Harvin for 30 yards (tackle by Kevin Hobbs)",0.000,1.000
1,4:59,1,10,MIN 31,0,3,Adrian Peterson left end for 1 yard (tackle by Julian Peterson and Ernie Sims),1.000,0.600
1,4:12,2,9,MIN 32,0,3,Brett Favre sacked by Jason Hunter for -5 yards. Penalty on Phil Loadholt: Offensive Holding (Declined),0.600,-0.760
1,3:49,3,14,MIN 27,0,3,Brett Favre pass complete short middle to Chester Taylor for 9 yards (tackle by Larry Foote and Louis Delmas),-0.760,-0.980
1,3:11,4,5,MIN 36,0,3,"Chris Kluwe punts 43 yards, fair catch by Dennis Northcutt",-0.980,-0.340
1,3:03,1,10,DET 21,0,3,Kevin Smith right tackle for 6 yards (tackle by Tyrell Johnson),0.340,0.610
1,2:33,2,4,DET 27,0,3,Kevin Smith left tackle for 3 yards (tackle by Antoine Winfield),0.610,0.300
1,1:56,3,1,DET 30,0,3,Calvin Johnson left end for 5 yards (tackle by Benny Sapp),0.300,1.270
1,1:13,1,10,DET 35,0,3,Matthew Stafford pass complete short middle to Jerome Felton for 21 yards (tackle by Ray Edwards),1.270,2.650
1,0:37,1,10,MIN 44,0,3,Kevin Smith left end for 6 yards (tackle by E.J. Henderson),2.650,2.920
Quarter,Time,Down,ToGo,Location,MIN,DET,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,2,4,MIN 38,0,3,Matthew Stafford pass incomplete short right intended for Calvin Johnson is intercepted by Chad Greenway at MIN-31 and returned for 13 yards,2.920,-1.860
2,14:51,1,10,MIN 44,0,3,Adrian Peterson right end for 5 yards (tackle by Marquand Manuel),1.860,1.990
2,14:13,2,5,MIN 49,0,3,Adrian Peterson left end for 4 yards (tackle by Julian Peterson),1.990,1.820
2,13:33,3,1,DET 47,0,3,Adrian Peterson left tackle for -1 yards (tackle by Marquand Manuel and Larry Foote),1.820,0.070
2,12:58,4,2,DET 48,0,3,"Chris Kluwe punts 34 yards, fair catch by Dennis Northcutt",0.070,0.280
2,12:52,1,10,DET 14,0,3,Kevin Smith right tackle for no gain (tackle by Ben Leber and Pat Williams),-0.280,-0.750
2,12:18,2,10,DET 14,0,3,Kevin Smith left tackle for 2 yards (tackle by Pat Williams),-0.750,-1.160
2,11:37,3,8,DET 16,0,3,Matthew Stafford for 7 yards (tackle by Ray Edwards),-1.160,-1.830
,,,,,,,"DET challenged the first down ruling, and the play was upheld.",,
2,11:27,4,1,DET 23,0,3,"Nick Harris punts 44 yards, fair catch by Darius Reynaud. Penalty on Ernie Sims: Illegal Formation, 5 yards",-1.830,-1.470
2,11:21,1,10,MIN 38,0,3,Brett Favre sacked by Larry Foote for -5 yards,1.470,0.250
