Unnamed: 0,CLE,SDG
First Downs,20,23
Rush-Yds-TDs,21-100-0,21-91-0
Cmp-Att-Yd-TD-INT,32-41-356-2-0,23-38-358-3-0
Sacked-Yards,4-24,2-11
Net Pass Yards,332,347
Total Yards,432,438
Fumbles-Lost,1-1,0-0
Turnovers,1,0
Penalties-Yards,12-91,6-31
Third Down Conv.,4-13,3-11
Fourth Down Conv.,0-0,0-0
Time of Possession,34:19,25:41
