Quarter,Time,Tm,Detail,CLE,SDG
1.0,4:12,Browns,Travis Coons 36 yard field goal,3,0
,0:48,Chargers,Keenan Allen 28 yard pass from Philip Rivers (Josh Lambo kick),3,7
2.0,14:10,Browns,Duke Johnson 34 yard pass from Josh McCown (Travis Coons kick),10,7
,10:37,Chargers,Josh Lambo 46 yard field goal,10,10
,1:36,Chargers,Josh Lambo 45 yard field goal,10,13
,0:03,Browns,Travis Coons 28 yard field goal,13,13
3.0,5:54,Browns,Travis Coons 33 yard field goal,16,13
,4:23,Chargers,Ladarius Green 19 yard pass from Philip Rivers (Josh Lambo kick),16,20
4.0,9:57,Browns,Travis Coons 40 yard field goal,19,20
,7:26,Chargers,John Phillips 1 yard pass from Philip Rivers (Josh Lambo kick),19,27
,2:09,Browns,Gary Barnidge 1 yard pass from Josh McCown (Taylor Gabriel pass from Josh McCown),27,27
,0:00,Chargers,Josh Lambo 34 yard field goal,27,30
