Quarter,Time,Down,ToGo,Location,CLE,SDG,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Chargers won the coin toss and deferred, Browns to receive the opening kickoff.",,
1,15:00,,,SDG 35,0,0,"Josh Lambo kicks off 65 yards, returned by Justin Gilbert for 35 yards (tackle by Josh Lambo)",0.000,-1.270
1,14:53,1,10,CLE 35,0,0,Josh McCown pass complete short right to Travis Benjamin for 9 yards (tackle by Brandon Flowers),1.270,1.940
1,14:27,2,1,CLE 44,0,0,Josh McCown pass incomplete short left intended for Taylor Gabriel (defended by Patrick Robinson),1.940,1.220
1,14:24,3,1,CLE 44,0,0,Josh McCown pass incomplete short middle intended for Travis Benjamin (defended by Brandon Flowers),1.220,-0.460
1,14:20,4,1,CLE 44,0,0,"Andy Lee punts 48 yards, fair catch by Keenan Allen",-0.460,0.380
1,14:12,1,10,SDG 8,0,0,Philip Rivers pass incomplete short right intended for Steve Johnson,-0.380,-0.780
1,14:09,2,10,SDG 8,0,0,Philip Rivers pass incomplete short middle intended for Keenan Allen (defended by Pierre Desir),-0.780,-1.420
1,14:03,3,10,SDG 8,0,0,Philip Rivers pass incomplete short right intended for Steve Johnson,-1.420,-2.490
1,13:58,4,10,SDG 8,0,0,"Mike Scifres punts 46 yards, returned by Travis Benjamin for 10 yards (tackle by Nick Dzubnar). Penalty on Malcolm Johnson: Offensive Holding, 10 yards",-2.490,-1.990
1,13:46,1,10,CLE 46,0,0,Isaiah Crowell right end for -2 yards (tackle by Corey Liuget and Eric Weddle),1.990,1.180
1,13:10,2,12,CLE 44,0,0,Josh McCown pass complete short left to Gary Barnidge for 4 yards (tackle by Manti Te'o and Brandon Flowers),1.180,1.030
1,12:27,3,8,CLE 48,0,0,"Josh McCown sacked by Melvin Ingram and Eric Weddle for -8 yards. Josh McCown fumbles (forced by Melvin Ingram), recovered by Melvin Ingram at CLE-40 (tackle by Andrew Hawkins)",1.030,-2.920
1,12:17,1,10,CLE 40,0,0,Melvin Gordon middle for -2 yards (tackle by Randy Starks and Karlos Dansby),2.920,2.100
1,11:36,2,12,CLE 42,0,0,Philip Rivers sacked by Christian Kirksey for -7 yards,2.100,0.500
1,10:51,3,19,CLE 49,0,0,Philip Rivers pass incomplete deep right intended for Malcom Floyd (defended by Pierre Desir),0.500,0.000
1,10:45,4,19,CLE 49,0,0,Mike Scifres punts 31 yards,0.000,-0.040
1,10:36,1,10,CLE 18,0,0,Duke Johnson middle for 3 yards (tackle by Brandon Flowers and Corey Liuget),0.040,0.010
1,9:57,2,7,CLE 21,0,0,Josh McCown pass complete deep left to Gary Barnidge for 27 yards (tackle by Eric Weddle and Kyle Emanuel). Penalty on Corey Liuget: Defensive Offside (Declined),0.010,2.130
1,9:34,1,10,CLE 48,0,0,Duke Johnson left end for 5 yards (tackle by Manti Te'o),2.130,2.260
1,8:58,2,5,SDG 47,0,0,Josh McCown pass complete short right to Brian Hartline for 7 yards (tackle by Brandon Flowers),2.260,2.920
1,8:15,1,10,SDG 40,0,0,"Penalty on Joe Thomas: False Start, 5 yards (no play)",2.920,2.590
1,8:02,1,15,SDG 45,0,0,Duke Johnson left end for 3 yards (tackle by Manti Te'o and Kyle Emanuel),2.590,2.100
1,7:25,2,12,SDG 42,0,0,Josh McCown pass incomplete,2.100,1.420
1,7:18,3,12,SDG 42,0,0,Josh McCown pass complete short right to Travis Benjamin for 10 yards (tackle by Brandon Flowers),1.420,1.300
1,6:32,4,2,SDG 32,0,0,"Josh McCown pass incomplete short right intended for Travis Benjamin. Penalty on Brandon Flowers: Defensive Pass Interference, 6 yards (no play)",1.300,3.840
1,6:29,1,10,SDG 26,0,0,Isaiah Crowell right tackle for 3 yards (tackle by Kendall Reyes),3.840,3.700
1,5:49,2,7,SDG 23,0,0,Josh McCown pass complete short right to Duke Johnson for -6 yards (tackle by Kendall Reyes),3.700,2.210
1,5:03,3,13,SDG 29,0,0,Josh McCown pass complete short right to Duke Johnson for 11 yards (tackle by Eric Weddle),2.210,2.370
1,4:16,4,2,SDG 18,3,0,Travis Coons 36 yard field goal good,2.370,3.000
1,4:16,,,CLE 35,3,0,"Travis Coons kicks off 65 yards, touchback",0.000,-0.280
1,4:12,1,10,SDG 20,3,0,"Philip Rivers pass incomplete deep middle intended for Malcom Floyd. Penalty on Tramon Williams: Defensive Holding, 5 yards (no play)",0.280,0.610
1,4:05,1,10,SDG 25,3,0,Melvin Gordon left end for 5 yards (tackle by Tashaun Gipson),0.610,0.740
1,3:23,2,5,SDG 30,3,0,Philip Rivers pass complete short middle to Malcom Floyd for 20 yards (tackle by Pierre Desir and Nate Orchard),0.740,2.260
1,2:48,1,10,,3,0,Melvin Gordon right guard for -3 yards (tackle by Donte Whitner),2.260,1.310
1,2:17,2,13,SDG 47,3,0,Philip Rivers pass complete short right to Danny Woodhead for 5 yards (tackle by Pierre Desir),1.310,1.290
1,2:03,3,8,CLE 48,3,0,Philip Rivers pass complete short left to Ladarius Green for 9 yards (tackle by Jordan Poyer),1.290,2.980
1,1:37,1,10,CLE 39,3,0,Danny Woodhead middle for 11 yards (tackle by Donte Whitner),2.980,3.710
1,0:59,1,10,CLE 28,3,0,Philip Rivers pass incomplete short left intended for Keenan Allen,3.710,3.170
1,0:54,2,10,CLE 28,3,6,"Philip Rivers pass complete deep right to Keenan Allen for 28 yards, touchdown",3.170,7.000
1,0:54,,,CLE 28,3,7,Josh Lambo kicks extra point good,0.000,0.000
1,0:54,,,SDG 35,3,7,"Josh Lambo kicks off 65 yards, touchback",0.000,-0.280
1,0:48,1,10,CLE 20,3,7,Josh McCown pass complete short right to Gary Barnidge for 9 yards (tackle by Manti Te'o),0.280,0.950
1,0:13,2,1,CLE 29,3,7,Isaiah Crowell right end for 32 yards (tackle by Eric Weddle),0.950,2.980
Quarter,Time,Down,ToGo,Location,CLE,SDG,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,1,10,SDG 39,3,7,Josh McCown pass complete short left to Taylor Gabriel for 5 yards (tackle by Steve Williams),2.980,3.120
2,14:17,2,5,SDG 34,9,7,"Josh McCown pass complete deep left to Duke Johnson for 34 yards, touchdown",3.120,7.000
2,14:17,,,SDG 34,10,7,Travis Coons kicks extra point good,0.000,0.000
2,14:17,,,CLE 35,10,7,"Travis Coons kicks off 73 yards, returned by Branden Oliver for 24 yards (tackle by Justin Gilbert)",0.000,0.140
2,14:05,1,10,SDG 16,10,7,Philip Rivers pass complete short right to Dontrelle Inman for 5 yards (tackle by Christian Kirksey),-0.140,0.150
2,13:36,2,5,SDG 21,10,7,Philip Rivers pass complete short right to Steve Johnson for 7 yards (tackle by Justin Gilbert),0.150,0.810
