Unnamed: 0,NOR,NWE
First Downs,23,20
Rush-Yds-TDs,21-87-0,30-132-0
Cmp-Att-Yd-TD-INT,27-50-343-2-1,15-29-222-3-0
Sacked-Yards,1-5,3-28
Net Pass Yards,338,194
Total Yards,425,326
Fumbles-Lost,0-0,1-1
Turnovers,1,1
Penalties-Yards,11-99,5-50
Third Down Conv.,8-16,7-14
Fourth Down Conv.,0-1,1-1
Time of Possession,32:57,27:03
