Quarter,Time,Tm,Detail,NOR,NWE
1.0,2:30,Patriots,Deion Branch 2 yard pass from Tom Brady (Adam Vinatieri kick),0,7
2.0,13:30,Patriots,Mike Vrabel 1 yard pass from Tom Brady (Adam Vinatieri kick),0,14
,1:12,Saints,Donte' Stallworth 7 yard pass from Aaron Brooks (John Carney kick),7,14
3.0,4:19,Patriots,Andre' Davis 60 yard pass from Tom Brady (Adam Vinatieri kick),7,21
4.0,7:52,Patriots,Adam Vinatieri 37 yard field goal,7,24
,5:00,Saints,Donte' Stallworth 12 yard pass from Aaron Brooks (John Carney kick),14,24
,2:20,Saints,John Carney 46 yard field goal,17,24
