Quarter,Time,Tm,Detail,SFO,NYG
1.0,7:52,Giants,Brandon Jacobs 26 yard rush (John Carney kick),0,7
,4:23,49ers,Joe Nedney 40 yard field goal,3,7
2.0,14:55,Giants,Brandon Jacobs 2 yard rush (John Carney kick),3,14
,11:25,49ers,Josh Morgan 30 yard pass from J.T. O'Sullivan (Joe Nedney kick),10,14
,1:52,Giants,John Carney 21 yard field goal,10,17
3.0,9:01,Giants,Plaxico Burress 6 yard pass from Eli Manning (John Carney kick),10,24
,1:50,49ers,Nate Clements 74 yard blocked field goal return (Joe Nedney kick),17,24
4.0,12:17,Giants,John Carney 48 yard field goal,17,27
,4:57,Giants,"Safety, J.T. OSullivan fumble forced by Justin Tuck out of bounds in the end zone.",17,29
