Unnamed: 0,SFO,NYG
First Downs,13,17
Rush-Yds-TDs,16-35-0,32-112-2
Cmp-Att-Yd-TD-INT,16-28-256-1-2,16-31-161-1-0
Sacked-Yards,6-38,0-0
Net Pass Yards,218,161
Total Yards,253,273
Fumbles-Lost,4-1,2-0
Turnovers,3,0
Penalties-Yards,13-134,11-80
Third Down Conv.,2-10,4-14
Fourth Down Conv.,0-1,1-1
Time of Possession,25:30,34:30
