Unnamed: 0,PHI,TAM
First Downs,14,23
Rush-Yds-TDs,17-95-1,31-106-2
Cmp-Att-Yd-TD-INT,23-43-258-1-2,29-37-271-2-0
Sacked-Yards,2-14,4-28
Net Pass Yards,244,243
Total Yards,339,349
Fumbles-Lost,3-1,0-0
Turnovers,3,0
Penalties-Yards,4-45,4-35
Third Down Conv.,5-14,4-13
Fourth Down Conv.,1-3,0-1
Time of Possession,26:57,33:03
