Quarter,Time,Tm,Detail,PHI,TAM
1.0,10:00,Buccaneers,Giovani Bernard 2 yard rush (Ryan Succop kick),0,7
,0:25,Buccaneers,Ke'Shawn Vaughn 1 yard rush (Ryan Succop kick),0,14
2.0,9:16,Buccaneers,Ryan Succop 34 yard field goal,0,17
3.0,7:38,Buccaneers,Rob Gronkowski 2 yard pass from Tom Brady (Ryan Succop kick),0,24
,5:18,Buccaneers,Mike Evans 36 yard pass from Tom Brady (Ryan Succop kick),0,31
4.0,12:08,Eagles,Boston Scott 34 yard rush (Jake Elliott kick),7,31
,4:45,Eagles,Kenneth Gainwell 16 yard pass from Jalen Hurts (DeVonta Smith pass from Jalen Hurts),15,31
