Quarter,Time,Tm,Detail,ATL,NOR
1.0,4:26,Falcons,Younghoe Koo 32 yard field goal,3,0
2.0,0:06,Falcons,Olamide Zaccheaus 3 yard pass from Matt Ryan (Younghoe Koo kick),10,0
3.0,9:36,Saints,Brian Johnson 35 yard field goal,10,3
,5:13,Falcons,Matt Ryan 1 yard rush (Younghoe Koo kick),17,3
4.0,14:49,Saints,Brian Johnson 52 yard field goal,17,6
,10:39,Falcons,Olamide Zaccheaus 6 yard pass from Matt Ryan (Younghoe Koo kick),24,6
,7:57,Saints,Marquez Callaway 5 yard pass from Trevor Siemian (Brian Johnson kick),24,13
,4:35,Saints,Alvin Kamara 2 yard rush (pass failed),24,19
,1:01,Saints,Kenny Stills 8 yard pass from Trevor Siemian (run failed),24,25
,0:00,Falcons,Younghoe Koo 29 yard field goal,27,25
