Unnamed: 0,ATL,NOR
First Downs,18,26
Rush-Yds-TDs,25-34-1,25-109-1
Cmp-Att-Yd-TD-INT,23-30-343-2-0,27-43-282-2-0
Sacked-Yards,2-11,1-15
Net Pass Yards,332,267
Total Yards,366,376
Fumbles-Lost,2-0,1-1
Turnovers,0,1
Penalties-Yards,6-76,10-74
Third Down Conv.,5-13,3-10
Fourth Down Conv.,0-1,0-1
Time of Possession,27:39,32:21
