Unnamed: 0,OAK,NYJ
First Downs,19,18
Rush-Yds-TDs,26-150-1,32-143-2
Cmp-Att-Yd-TD-INT,20-36-265-2-1,16-25-219-1-1
Sacked-Yards,3-32,1-10
Net Pass Yards,233,209
Total Yards,383,352
Fumbles-Lost,2-0,1-0
Turnovers,1,1
Penalties-Yards,4-31,4-36
Third Down Conv.,5-15,7-13
Fourth Down Conv.,2-2,0-0
Time of Possession,30:34,29:26
