Quarter,Time,Down,ToGo,Location,OAK,NYJ,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Raiders won the coin toss and deferred, Jets to receive the opening kickoff.",,
1,15:00,,,OAK 35,0,0,"Sebastian Janikowski kicks off 65 yards, touchback",0.000,-0.280
1,15:00,1,10,NYJ 20,0,0,Chris Ivory right tackle for 9 yards (tackle by Nick Roach),0.280,0.950
1,14:25,2,1,NYJ 29,0,0,Chris Ivory right guard for 9 yards (tackle by Nick Roach),0.950,1.470
1,13:56,1,10,NYJ 38,0,0,Chris Ivory left tackle for 2 yards (tackle by Vance Walker),1.470,1.190
1,13:21,2,8,NYJ 40,0,0,Geno Smith pass complete short middle to Santonio Holmes for 32 yards (tackle by Tracy Porter),1.190,3.710
1,12:38,1,10,OAK 28,0,0,Jeremy Kerley left end for 3 yards (tackle by Charles Woodson),3.710,3.570
1,11:58,2,7,OAK 25,0,0,Geno Smith pass complete short right to Jeremy Kerley for 2 yards (tackle by Sio Moore),3.570,3.140
1,11:22,3,5,OAK 23,0,0,Geno Smith pass incomplete deep left intended for Kellen Winslow,3.140,1.980
1,11:17,4,5,OAK 23,0,3,Nick Folk 41 yard field goal good,1.980,3.000
1,11:17,,,NYJ 35,0,3,"Nick Folk kicks off 59 yards, returned by Taiwan Jones for 16 yards (tackle by Kyle Wilson)",0.000,-0.410
1,11:07,1,10,OAK 22,0,3,Marcel Reece up the middle for 3 yards (tackle by Damon Harrison and Demario Davis),0.410,0.270
1,10:32,2,7,OAK 25,0,3,Matt McGloin pass complete deep right to Marcel Reece for 26 yards (tackle by Dawan Landry),0.270,2.320
1,9:47,1,10,NYJ 49,0,3,"Matt McGloin for no gain. Matt McGloin fumbles, recovered by Matt McGloin at NYJ-49",2.320,1.650
1,9:09,2,11,,0,3,Taiwan Jones right guard for 2 yards (tackle by Damon Harrison and Demario Davis),1.650,1.220
1,8:28,3,9,NYJ 48,0,3,Matt McGloin pass complete short right to Mychal Rivera for no gain,1.220,0.070
1,7:51,4,9,NYJ 48,0,3,"Marquette King punts 48 yards, touchback",0.070,-0.280
1,7:44,1,10,NYJ 20,0,3,Geno Smith pass complete short right to David Nelson for 7 yards (tackle by Tracy Porter),0.280,0.680
1,7:44,2,3,NYJ 27,0,3,Bilal Powell up the middle for 4 yards (tackle by Vance Walker),0.680,1.000
1,6:47,1,10,NYJ 31,0,3,Chris Ivory right guard for 2 yards (tackle by Sio Moore and Lamarr Houston),1.000,0.730
1,6:09,2,8,NYJ 33,0,3,Geno Smith pass incomplete short right intended for Kellen Winslow,0.730,0.040
1,6:03,3,8,NYJ 33,0,3,Geno Smith pass incomplete short right intended for Jeremy Kerley is intercepted by Kevin Burnett at NYJ-37,0.040,-3.120
1,5:58,1,10,NYJ 37,0,3,Taiwan Jones right tackle for 1 yard (tackle by Demario Davis),3.120,2.710
1,5:17,2,9,NYJ 36,0,3,Matt McGloin pass complete short right to Jamize Olawale for 2 yards (tackle by Muhammad Wilkerson),2.710,2.280
1,4:55,3,7,NYJ 34,0,3,Matt McGloin pass incomplete short left intended for Jamize Olawale,2.280,1.060
1,4:52,4,7,NYJ 34,0,3,Sebastian Janikowski 52 yard field goal no good,1.060,-1.730
1,4:49,1,10,NYJ 42,0,3,Geno Smith pass complete short right to Kellen Winslow for 30 yards (tackle by Charles Woodson and Brandian Ross),1.730,3.710
1,3:59,1,10,OAK 28,0,3,Bilal Powell right guard for 3 yards (tackle by Sio Moore and Jack Crawford),3.710,3.570
1,3:23,2,7,OAK 25,0,9,"Geno Smith pass complete deep left to Jeremy Kerley for 25 yards, touchdown",3.570,7.000
1,3:23,,,OAK 2,0,10,Nick Folk kicks extra point good,0.000,0.000
1,3:23,,,NYJ 35,0,10,"Nick Folk kicks off 57 yards, returned by Taiwan Jones for 11 yards (tackle by Isaiah Trufant)",0.000,-0.150
1,3:12,1,10,OAK 19,0,10,Marcel Reece right tackle for 2 yards (tackle by Sheldon Richardson and Demario Davis),0.150,-0.060
1,2:30,2,8,OAK 21,0,10,Terrelle Pryor pass complete short left to Andre Holmes for 9 yards (tackle by Antonio Allen),-0.060,-0.060
1,2:06,2,8,OAK 21,0,10,Timeout #1 by Oakland Raiders,-0.060,0.940
1,2:06,1,10,OAK 30,0,10,Terrelle Pryor pass incomplete short left intended for Rod Streater,0.940,0.390
1,2:01,2,10,OAK 30,0,10,Terrelle Pryor left end for 4 yards (tackle by Bilal Powell),0.390,0.230
1,1:15,3,6,OAK 34,0,10,Terrelle Pryor pass complete short right to Rod Streater for 11 yards (tackle by David Harris). Penalty on Muhammad Wilkerson: Defensive Offside (Declined),0.230,1.930
1,0:49,1,10,OAK 45,0,10,Marcel Reece up the middle for 2 yards (tackle by Leger Douzable),1.930,1.650
1,0:12,2,8,OAK 47,0,10,Terrelle Pryor left end for 8 yards (tackle by Damon Harrison),1.650,2.590
Quarter,Time,Down,ToGo,Location,OAK,NYJ,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,1,10,NYJ 45,0,10,"Terrelle Pryor pass incomplete short right intended for Rod Streater. Penalty on Antonio Cromartie: Defensive Offside, 5 yards (no play)",2.590,3.320
2,14:56,1,5,NYJ 40,0,10,Marcel Reece left tackle for 14 yards (tackle by Dawan Landry),3.320,3.840
2,14:26,1,10,NYJ 26,0,10,Marcel Reece left guard for 9 yards (tackle by Dee Milliner),3.840,4.640
2,13:55,2,1,NYJ 17,0,10,Marcel Reece right guard for 2 yards (tackle by Muhammad Wilkerson),4.640,4.580
2,13:19,1,10,NYJ 15,0,10,Terrelle Pryor pass incomplete short right intended for Rod Streater,4.580,3.950
2,13:12,2,10,NYJ 15,0,10,Terrelle Pryor left end for -8 yards (tackle by Demario Davis),3.950,2.280
2,12:41,3,18,NYJ 23,0,10,Terrelle Pryor pass incomplete deep left intended for Andre Holmes. Penalty on Jared Veldheer: Illegal Formation (Declined),2.280,1.930
2,12:35,4,18,NYJ 23,3,10,Sebastian Janikowski 41 yard field goal good,1.930,3.000
2,12:35,,,OAK 35,3,10,"Sebastian Janikowski kicks off 70 yards, returned by Darius Reynaud for 27 yards (tackle by Chimdi Chekwa)",0.000,-0.410
2,12:25,1,10,NYJ 22,3,10,Bilal Powell left end for -4 yards (tackle by Sio Moore),0.410,-0.770
2,11:50,2,14,NYJ 18,3,10,Geno Smith pass complete short right to David Nelson for 9 yards (tackle by Mike Jenkins),-0.770,-0.160
2,11:11,3,5,NYJ 27,3,10,Geno Smith pass complete short right to Jeremy Kerley for 8 yards (tackle by Tracy Porter),-0.160,1.270
2,10:41,1,10,NYJ 35,3,10,Geno Smith left end for 3 yards (tackle by Phillip Adams),1.270,1.130
2,10:01,2,7,NYJ 38,3,10,Geno Smith pass incomplete short right intended for Tommy Bohanon,1.130,0.430
2,9:58,3,7,NYJ 38,3,10,Geno Smith pass complete short right to Kellen Winslow for 15 yards (tackle by Kevin Burnett),0.430,2.460
2,9:22,1,10,OAK 47,3,10,Chris Ivory left tackle for -4 yards (tackle by Pat Sims),2.460,1.370
2,8:40,2,14,NYJ 49,3,10,Geno Smith sacked by Brandian Ross for -10 yards,1.370,-0.620
2,8:09,3,24,NYJ 39,3,10,Geno Smith pass complete short middle to Santonio Holmes for 13 yards (tackle by Nick Roach),-0.620,0.070
2,7:57,4,11,OAK 48,3,10,"Ryan Quigley punts 46 yards, out of bounds",0.070,0.380
2,7:30,1,10,OAK 2,3,10,--,-0.380,-0.420
2,7:30,1,11,OAK 1,3,10,Marcel Reece up the middle for 2 yards (tackle by Leger Douzable),-0.420,-0.710
2,6:47,2,9,OAK 3,3,10,Marcel Reece left end for 1 yard (tackle by David Harris and Dee Milliner),-0.710,-1.190
2,6:03,3,8,OAK 4,3,10,Matt McGloin pass incomplete short left intended for Andre Holmes is intercepted by Ed Reed at OAK-11 and returned for 7 yards (tackle by Andre Holmes),-1.190,-6.280
2,5:54,1,4,OAK 4,3,10,Bilal Powell left tackle for -1 yards (tackle by Nick Roach),6.280,5.150
2,5:15,2,5,OAK 5,3,10,Geno Smith pass incomplete short right intended for Jeremy Kerley (defended by Nick Roach),5.150,4.260
2,5:11,3,5,OAK 5,3,10,Geno Smith pass incomplete short left intended for Santonio Holmes,4.260,3.010
2,5:06,4,5,OAK 5,3,13,Nick Folk 23 yard field goal good,3.010,3.000
2,5:06,,,NYJ 35,3,13,"Nick Folk kicks off 67 yards, returned by Taiwan Jones for 27 yards (tackle by Alex Green)",0.000,-0.610
2,4:57,1,10,OAK 25,3,13,Marcel Reece up the middle for 3 yards (tackle by Calvin Pace),0.610,0.470
2,4:20,2,7,OAK 28,3,13,"Matt McGloin pass incomplete short left intended for Marcel Reece. Penalty on Jared Veldheer: Offensive Holding, 10 yards (no play)",0.470,-0.980
2,4:12,2,17,OAK 18,3,13,Matt McGloin pass incomplete short middle intended for Mychal Rivera,-0.980,-1.720
2,4:05,3,17,OAK 18,3,13,Matt McGloin pass incomplete deep right intended for Andre Holmes,-1.720,-2.240
2,4:00,4,17,OAK 18,3,19,"Marquette King punts, blocked by Antonio Allen, recovered by Antonio Allen, touchdown",-2.240,-7.000
2,3:55,,,OAK 2,3,20,Nick Folk kicks extra point good,0.000,0.000
2,3:55,,,NYJ 35,3,20,"Nick Folk kicks off 64 yards, returned by Greg Jenkins for 7 yards (tackle by Nick Bellore)",0.000,0.380
2,3:50,1,10,OAK 8,3,20,Matt McGloin pass complete deep middle to Andre Holmes for 40 yards (tackle by Antonio Cromartie),-0.380,2.130
2,3:22,1,10,OAK 48,3,20,Marcel Reece right tackle for 2 yards (tackle by David Harris),2.130,1.850
2,2:48,2,8,,3,20,Matt McGloin pass incomplete short left intended for Jamize Olawale (defended by Quinton Coples),1.850,1.160
2,2:44,3,8,,3,20,Matt McGloin pass complete short left to Mychal Rivera for 3 yards (tackle by Calvin Pace),1.160,0.130
2,1:59,4,5,NYJ 47,3,20,"Marquette King punts 37 yards, fair catch by Darius Reynaud",0.130,0.380
2,1:53,1,10,NYJ 10,3,20,Chris Ivory right tackle for 6 yards (tackle by Nick Roach),-0.380,-0.230
2,1:17,2,4,NYJ 16,3,20,Chris Ivory left end for 10 yards (tackle by Jason Hunter),-0.230,0.670
2,0:36,1,10,NYJ 26,3,20,Bilal Powell right tackle for no gain (tackle by Vance Walker),0.670,0.130
Quarter,Time,Down,ToGo,Location,OAK,NYJ,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,NYJ 35,3,20,"Nick Folk kicks off 61 yards, returned by Taiwan Jones for 17 yards (tackle by Jaiquawn Jarrett)",0.000,-0.340
3,14:50,1,10,OAK 21,3,20,Matt McGloin pass complete deep right to Rod Streater for 16 yards (tackle by Ed Reed),0.340,1.400
3,14:08,1,10,OAK 37,9,20,"Marcel Reece left tackle for 63 yards, touchdown",1.400,7.000
3,14:08,,,NYJ 2,10,20,Sebastian Janikowski kicks extra point good,0.000,0.000
3,14:08,,,OAK 35,10,20,"Sebastian Janikowski kicks off 63 yards, returned by Darius Reynaud for 26 yards (tackle by Kaelin Burnett)",0.000,-0.810
3,13:51,1,10,NYJ 28,10,20,Chris Ivory right tackle for 2 yards (tackle by Kevin Burnett),0.810,0.530
3,13:20,2,8,NYJ 30,10,20,Geno Smith pass complete deep right to Kellen Winslow for 16 yards,0.530,1.990
3,12:59,1,10,NYJ 46,10,20,Geno Smith pass complete short right to Tommy Bohanon for 6 yards,1.990,2.260
3,12:20,2,4,OAK 48,10,20,Chris Ivory right end for no gain (tackle by Vance Walker),2.260,1.550
3,11:41,3,4,OAK 48,10,20,"Geno Smith up the middle for 7 yards. Penalty on Lamarr Houston: Unnecessary Roughness, 15 yards",1.550,3.840
3,11:07,1,10,OAK 26,10,20,Chris Ivory right end for 1 yard (tackle by Sio Moore),3.840,3.430
3,10:38,2,9,OAK 25,10,20,Chris Ivory up the middle for 6 yards (tackle by Nick Roach and Sio Moore),3.430,3.570
3,9:59,3,3,OAK 19,10,20,Geno Smith pass complete short right to David Nelson for 11 yards (tackle by Charles Woodson),3.570,5.370
3,9:24,1,8,OAK 8,10,20,Geno Smith pass incomplete short middle intended for Kellen Winslow,5.370,4.570
3,9:19,2,8,OAK 8,10,26,"Geno Smith left end for 8 yards, touchdown",4.570,7.000
3,9:19,,,OAK 2,10,27,Nick Folk kicks extra point good,0.000,0.000
3,9:19,,,NYJ 35,10,27,"Nick Folk kicks off 62 yards, returned by Greg Jenkins for 25 yards (tackle by Alex Green)",0.000,-0.810
3,9:08,1,10,OAK 28,10,27,Matt McGloin pass incomplete short right intended for Marcel Reece,0.810,0.260
3,9:03,2,10,OAK 28,10,27,Marcel Reece left tackle for 6 yards (tackle by Damon Harrison),0.260,0.370
3,8:24,3,4,OAK 34,10,27,Matt McGloin pass complete short right to Mychal Rivera for 11 yards (tackle by Dawan Landry),0.370,1.930
3,7:45,1,10,OAK 45,10,27,Marcel Reece up the middle for -1 yards (tackle by Calvin Pace),1.930,1.250
3,7:01,2,11,OAK 44,10,27,Matt McGloin pass complete short left to Jamize Olawale for 8 yards (tackle by David Harris),1.250,1.620
3,6:26,3,3,NYJ 48,16,27,"Matt McGloin pass complete short right to Rod Streater for 48 yards, touchdown",1.620,7.000
3,6:26,,,NYJ 2,17,27,Sebastian Janikowski kicks extra point good,0.000,0.000
3,6:26,,,OAK 35,17,27,"Sebastian Janikowski kicks off 62 yards, returned by Darius Reynaud for 22 yards (tackle by Shelton Johnson)",0.000,-0.610
3,6:13,1,10,NYJ 25,17,27,Geno Smith pass complete short right to David Nelson for 5 yards (tackle by Mike Jenkins),0.610,0.740
3,5:40,2,5,NYJ 30,17,27,Bilal Powell up the middle for 11 yards (tackle by Charles Woodson and Tracy Porter),0.740,1.660
3,5:07,1,10,NYJ 41,17,27,Bilal Powell right guard for 1 yard (tackle by Nick Roach),1.660,1.260
3,4:34,2,9,NYJ 42,17,27,Geno Smith up the middle for no gain (tackle by Kevin Burnett),1.260,1.260
3,4:04,2,9,NYJ 42,17,27,Timeout #1 by Oakland Raiders,1.260,0.560
3,4:04,3,9,NYJ 42,17,27,Geno Smith pass complete short left to Bilal Powell for 24 yards (tackle by Brandian Ross),0.560,3.310
3,3:44,1,10,OAK 34,17,27,Geno Smith pass incomplete short right intended for Santonio Holmes,3.310,2.770
3,3:39,2,10,OAK 34,17,27,Chris Ivory up the middle for 1 yard (tackle by Kevin Burnett and Lamarr Houston),2.770,2.210
3,2:56,3,9,OAK 33,17,27,Geno Smith pass incomplete short right intended for Jeremy Kerley,2.210,1.150
3,2:51,4,9,OAK 33,17,30,Nick Folk 51 yard field goal good,1.150,3.000
3,2:51,,,NYJ 35,17,30,"Nick Folk kicks off 65 yards, returned by Greg Jenkins for 26 yards (tackle by Antonio Allen)",0.000,-0.670
3,2:41,1,10,OAK 26,17,30,Matt McGloin pass complete short middle to Marcel Reece for 12 yards (tackle by Garrett McIntyre),0.670,1.470
3,2:02,1,10,OAK 38,17,30,Marcel Reece left guard for no gain (tackle by Kenrick Ellis),1.470,0.920
3,1:26,2,10,OAK 38,17,30,Matt McGloin pass complete short right to Taiwan Jones for 3 yards (tackle by Dawan Landry),0.920,0.630
3,0:30,3,7,OAK 41,17,30,Matt McGloin pass complete short right to Andre Holmes for 14 yards (tackle by Dawan Landry),0.630,2.590
Quarter,Time,Down,ToGo,Location,OAK,NYJ,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,1,10,NYJ 45,17,30,Matt McGloin up the middle for 20 yards (tackle by David Harris),2.590,3.910
4,14:18,1,10,NYJ 25,17,30,Marcel Reece left tackle for 3 yards (tackle by Damon Harrison),3.910,3.770
4,13:38,2,7,NYJ 22,17,30,Matt McGloin pass incomplete short right intended for Marcel Reece,3.770,3.070
4,13:32,3,7,NYJ 22,17,30,Matt McGloin pass incomplete deep left intended for Jacoby Ford,3.070,1.990
4,13:25,4,7,NYJ 22,20,30,Sebastian Janikowski 40 yard field goal good,1.990,3.000
4,13:25,,,OAK 35,20,30,"Sebastian Janikowski kicks off 60 yards, returned by Alex Green for 22 yards (tackle by Shelton Johnson)",0.000,-0.740
4,13:12,1,10,NYJ 27,20,30,Bilal Powell right tackle for no gain (tackle by Kevin Burnett),0.740,0.200
4,12:37,2,10,NYJ 27,20,30,Geno Smith pass complete short left to Jeremy Kerley for 6 yards (tackle by Charles Woodson),0.200,0.300
4,11:56,3,4,NYJ 33,20,30,Geno Smith pass complete short left to Santonio Holmes for 10 yards (tackle by Jason Hunter and Lamarr Houston),0.300,1.800
4,11:22,1,10,NYJ 43,20,30,"Chris Ivory up the middle for 5 yards (tackle by Nick Roach). Chris Ivory fumbles (forced by Nick Roach), recovered by Chris Ivory at NYJ-48",1.800,1.930
4,10:42,2,5,NYJ 48,20,30,Chris Ivory left tackle for no gain (tackle by Sio Moore and Lamarr Houston),1.930,1.220
4,10:01,3,5,NYJ 48,20,30,Geno Smith up the middle for 32 yards (tackle by Brandian Ross),1.220,4.240
4,10:01,1,10,OAK 20,20,30,"Penalty on Pat Sims: Defensive Offside, 5 yards (no play)",4.240,5.190
4,9:07,1,5,OAK 15,20,36,"Chris Ivory up the middle for 15 yards, touchdown",5.190,7.000
4,9:07,,,OAK 2,20,37,Nick Folk kicks extra point good,0.000,0.000
4,9:07,,,NYJ 35,20,37,"Nick Folk kicks off 49 yards, returned by Jamize Olawale for 6 yards (tackle by Isaiah Trufant)",0.000,-0.410
4,8:54,1,10,OAK 22,20,37,Matt McGloin sacked by Calvin Pace for -7 yards,0.410,-1.210
4,8:21,2,17,OAK 15,20,37,Matt McGloin pass complete short right to Rod Streater for 10 yards (tackle by Demario Davis),-1.210,-0.430
4,7:41,3,7,OAK 25,20,37,Matt McGloin pass complete deep left to Rod Streater for 16 yards (tackle by Antonio Allen),-0.430,1.660
4,7:12,1,10,OAK 41,20,37,"Marcel Reece right tackle for 4 yards (tackle by Garrett McIntyre). Penalty on NYJ: Defensive 12 On-field, 5 yards (no play)",1.660,2.390
4,7:12,1,5,OAK 46,20,37,"Matt McGloin sacked for -29 yards. Matt McGloin fumbles, recovered by Matt McGloin at OAK-31",2.390,-0.230
4,6:21,2,20,OAK 31,20,37,Matt McGloin pass incomplete short middle intended for Mychal Rivera,-0.230,-0.890
4,6:21,3,20,OAK 31,20,37,Matt McGloin pass complete short middle to Rod Streater for 15 yards (tackle by David Harris and Calvin Pace),-0.890,-0.320
