Unnamed: 0,NYJ,CLE
First Downs,14,20
Rush-Yds-TDs,30-107-2,33-133-2
Cmp-Att-Yd-TD-INT,15-31-169-0-2,21-37-220-0-0
Sacked-Yards,2-8,4-30
Net Pass Yards,161,190
Total Yards,268,323
Fumbles-Lost,2-1,2-0
Turnovers,3,0
Penalties-Yards,6-55,5-41
Third Down Conv.,6-15,7-18
Fourth Down Conv.,1-1,0-0
Time of Possession,29:08,30:52
