Quarter,Time,Tm,Detail,NYJ,CLE
2.0,14:56,Jets,Isaiah Crowell 7 yard rush (Jason Myers kick),7,0
,7:54,Jets,Isaiah Crowell 2 yard rush (Jason Myers kick),14,0
,0:23,Browns,Greg Joseph 45 yard field goal,14,3
3.0,5:21,Browns,Greg Joseph 27 yard field goal,14,6
,0:42,Browns,Carlos Hyde 1 yard rush (Baker Mayfield pass from Jarvis Landry),14,14
4.0,8:56,Jets,Jason Myers 28 yard field goal,17,14
,2:04,Browns,Carlos Hyde 1 yard rush (Greg Joseph kick),17,21
