Unnamed: 0,CLE,DEN
First Downs,19,17
Rush-Yds-TDs,24-107-0,39-169-2
Cmp-Att-Yd-TD-INT,20-42-190-1-0,13-22-134-1-0
Sacked-Yards,4-28,1-9
Net Pass Yards,162,125
Total Yards,269,294
Fumbles-Lost,5-3,2-1
Turnovers,3,1
Penalties-Yards,8-66,8-71
Third Down Conv.,2-13,6-14
Fourth Down Conv.,2-5,0-1
Time of Possession,27:12,32:48
