Quarter,Time,Down,ToGo,Location,CLE,DEN,Detail,EPB,EPA
1,3:12,4,2,CLE 42,0,7,"Russell Wilson scrambles right guard for 5 yards. Russell Wilson fumbles (forced by Jeremiah Owusu-Koramoah) (tackle by Juan Thornhill), recovered by Alex Wright at CLE-34 (tackle by Jeremiah Owusu-Koramoah) (tackle by Juan Thornhill) (tackle by Jeremiah Owusu-Koramoah)",0.460,-1.200
1,3:00,1,10,CLE 34,0,7,Kareem Hunt right tackle for 3 yards (tackle by Jonathan Harris and Matt Henningsen),1.200,1.060
1,2:23,2,7,CLE 37,0,7,Dorian Thompson-Robinson pass incomplete short left,1.060,0.370
1,2:16,3,7,CLE 37,0,7,Dorian Thompson-Robinson pass incomplete short left intended for David Njoku,0.370,-0.910
1,2:12,4,7,CLE 37,0,7,"Corey Bojorquez punts 63 yards, touchback.",-0.910,-0.280
1,2:03,1,10,DEN 20,0,7,Jaleel McLaughlin left tackle for 6 yards (tackle by Grant Delpit and Tony Fields),0.280,0.540
1,1:31,2,4,DEN 26,0,7,Russell Wilson pass incomplete short right intended for Courtland Sutton,0.540,-0.160
1,1:28,3,4,DEN 26,0,7,Samaje Perine up the middle for 6 yards (tackle by Dalvin Tomlinson),-0.160,1.070
1,0:53,1,10,DEN 32,0,7,Russell Wilson pass incomplete short right,1.070,0.530
1,0:47,2,10,DEN 32,0,7,"Javonte Williams right end for 15 yards (tackle by Greg Newsome). Penalty on Courtland Sutton: Offensive Holding, 10 yards (accepted)",0.530,1.200
1,0:25,2,5,DEN 37,0,7,Samaje Perine up the middle for 15 yards (tackle by Juan Thornhill and Mike Ford),1.200,2.390
Quarter,Time,Down,ToGo,Location,CLE,DEN,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,1,10,CLE 48,0,7,Russell Wilson pass incomplete short left intended for Javonte Williams,2.390,1.850
2,14:56,2,10,CLE 48,0,7,Javonte Williams right tackle for 3 yards (tackle by Jordan Elliott),1.850,1.550
2,14:21,3,7,CLE 45,0,7,Russell Wilson pass complete short right to Marvin Mims for 16 yards (tackle by Mike Ford),1.550,3.640
2,13:34,1,10,CLE 29,0,7,Jaleel McLaughlin left tackle for -2 yards (tackle by Za'Darius Smith),3.640,2.830
2,13:01,2,12,CLE 31,0,7,"Penalty on Myles Garrett: Neutral Zone Infraction, 5 yards (accepted) (no play)",2.830,3.510
2,12:43,2,7,CLE 26,0,7,Russell Wilson left end for 19 yards (tackle by Juan Thornhill),3.510,5.600
2,12:00,1,7,CLE 7,0,7,Russell Wilson right end for 2 yards (tackle by Juan Thornhill),5.600,5.150
2,11:22,2,5,CLE 5,0,7,"Russell Wilson pass incomplete short right. Penalty on Alex Wright: Defensive Offside, 3 yards (accepted) (no play)",5.150,5.720
2,11:14,2,2,CLE 2,0,13,"Russell Wilson right tackle for 2 yards, touchdown",5.720,7.000
2,11:11,,,CLE 15,0,14,Wil Lutz kicks extra point good,0.000,0.000
2,11:11,,,DEN 35,0,14,"Wil Lutz kicks off 65 yards, touchback.",0.000,0.610
2,11:11,1,10,CLE 25,0,14,Dorian Thompson-Robinson pass incomplete deep middle intended for Amari Cooper,0.610,0.060
2,11:05,2,10,CLE 25,0,14,Jerome Ford left end for 19 yards (tackle by P.J. Locke and Patrick Surtain),0.060,1.860
2,10:25,1,10,CLE 44,0,14,Dorian Thompson-Robinson pass incomplete short right,1.860,1.320
2,10:18,2,10,CLE 44,0,14,Jerome Ford left tackle for 11 yards (tackle by Josey Jewell and Alex Singleton),1.320,2.590
2,9:36,1,10,DEN 45,0,14,Dorian Thompson-Robinson left tackle for 9 yards (tackle by P.J. Locke),2.590,3.260
2,8:55,2,1,DEN 36,0,14,Kareem Hunt right end for 7 yards (tackle by Drew Sanders),3.260,3.640
2,8:14,1,10,DEN 29,0,14,Dorian Thompson-Robinson pass incomplete short middle intended for Elijah Moore,3.640,3.100
2,8:07,2,10,DEN 29,0,14,Dorian Thompson-Robinson pass complete short right to Elijah Moore for 9 yards (tackle by Alex Singleton),3.100,3.600
2,7:31,3,1,DEN 20,0,14,Kareem Hunt right tackle for 3 yards (tackle by Jonathan Harris and Alex Singleton),3.600,4.440
2,6:53,1,10,DEN 17,0,14,"Dorian Thompson-Robinson aborted snap, recovered by Kareem Hunt at DEN-22 (tackle by Tyler Lancaster)",4.440,3.720
2,6:15,2,11,DEN 18,0,14,Dorian Thompson-Robinson pass incomplete deep right intended for Elijah Moore,3.720,3.000
2,6:07,3,11,DEN 18,0,14,Dorian Thompson-Robinson pass incomplete short left intended for Jerome Ford,3.000,2.250
