Quarter,Time,Tm,Detail,IND,DET
1.0,10:16,Colts,Brandon Stokley 4 yard pass from Peyton Manning (Mike Vanderjagt kick),7,0
,7:16,Lions,Jason Hanson 20 yard field goal,7,3
,4:20,Colts,Brandon Stokley 12 yard pass from Peyton Manning (Mike Vanderjagt kick failed),13,3
,0:49,Lions,Jason Hanson 34 yard field goal,13,6
2.0,2:20,Colts,Brandon Stokley 25 yard pass from Peyton Manning (Mike Vanderjagt kick),20,6
,0:50,Colts,Marvin Harrison 13 yard pass from Peyton Manning (Mike Vanderjagt kick),27,6
,0:00,Lions,Jason Hanson 32 yard field goal,27,9
3.0,9:18,Colts,Marvin Harrison 10 yard pass from Peyton Manning (Mike Vanderjagt kick),34,9
,2:11,Colts,Marvin Harrison 5 yard pass from Peyton Manning (Mike Vanderjagt kick),41,9
