Quarter,Time,Down,ToGo,Location,IND,DET,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Colts won the coin toss, Colts to receive the opening kickoff.",,
1,15:00,,,DET 30,0,0,"Jason Hanson kicks off 72 yards, returned by Dominic Rhodes for 23 yards (tackle by Alex Lewis)",0.000,0.340
1,14:55,1,10,IND 21,0,0,Peyton Manning pass complete to Reggie Wayne for 20 yards (tackle by Brock Marion),0.340,1.660
1,14:18,1,10,IND 41,0,0,Edgerrin James left end for 4 yards (tackle by Brock Marion),1.660,1.660
1,13:53,2,6,IND 45,0,0,"Penalty on Shaun Rogers: Encroachment, 5 yards (no play)",1.660,2.340
1,13:32,2,1,DET 50,0,0,Edgerrin James left end for 4 yards (tackle by James Davis),2.340,2.520
1,12:46,1,10,DET 46,0,0,Peyton Manning pass complete to Marvin Harrison for 23 yards (tackle by Bracy Walker). Penalty on Brock Marion: Illegal Contact (Declined),2.520,4.040
1,12:15,1,10,DET 23,0,0,Peyton Manning pass incomplete intended for Reggie Wayne,4.040,3.500
1,12:09,2,10,DET 23,0,0,Peyton Manning pass complete to Brandon Stokley for 9 yards (tackle by Dre' Bly),3.500,4.280
1,11:25,3,1,DET 14,0,0,Peyton Manning pass complete to Marvin Harrison for 4 yards (tackle by Brock Marion),4.280,4.910
1,10:54,1,10,DET 10,0,0,Edgerrin James up the middle for 6 yards (tackle by Jared DeVries),4.910,5.340
1,10:19,2,4,DET 4,6,0,"Peyton Manning pass complete to Brandon Stokley for 4 yards, touchdown",5.340,7.000
1,,,,DET 2,7,0,Mike Vanderjagt kicks extra point good,0.000,0.000
1,,,,IND 30,7,0,Jason Baker kicks off 51 yards,0.000,1.600
1,10:16,1,10,DET 40,7,0,Kevin Jones left tackle for 3 yards (tackle by Rob Morris),1.600,1.460
1,9:52,2,7,DET 43,7,0,Joey Harrington pass complete to Kevin Jones for 6 yards (tackle by Joe Jefferson),1.460,1.550
1,9:17,3,1,DET 49,7,0,Shawn Bryson up the middle for 7 yards (tackle by Cato June),1.550,2.650
1,8:44,1,10,IND 44,7,0,Joey Harrington pass complete to Roy E. Williams for 37 yards (tackle by Idrees Bashir),2.650,5.600
1,8:03,1,7,IND 7,7,0,Kevin Jones up the middle for 5 yards (tackle by Montae Reagor),5.600,5.720
1,7:29,2,2,IND 2,7,0,Joey Harrington pass incomplete intended for Stephen Alexander,5.720,4.950
1,7:24,3,2,IND 2,7,0,Joey Harrington pass incomplete intended for Roy E. Williams (defended by Cato June),4.950,3.250
1,7:20,4,2,IND 2,7,3,Jason Hanson 20 yard field goal good,3.250,3.000
1,,,,DET 30,7,3,Jason Hanson kicks off 61 yards,0.000,1.600
1,7:16,1,10,IND 40,7,3,Peyton Manning pass incomplete intended for Marvin Harrison,1.600,1.050
1,7:10,2,10,IND 40,7,3,Edgerrin James right end for 3 yards (tackle by Earl Holmes),1.050,0.760
1,6:29,3,7,IND 43,7,3,"Peyton Manning pass incomplete intended for Brandon Stokley. Penalty on Dre' Bly: Defensive Holding, 5 yards (no play)",0.760,2.130
1,6:23,1,10,IND 48,7,3,Edgerrin James for 2 yards (tackle by James Davis),2.130,1.850
1,5:55,2,8,DET 50,7,3,Peyton Manning pass complete to Reggie Wayne for 14 yards,1.850,3.180
1,5:25,1,10,DET 36,7,3,Peyton Manning pass complete to Edgerrin James for 13 yards (tackle by Dre' Bly),3.180,4.040
1,5:01,1,10,DET 23,7,3,"Edgerrin James right end for 2 yards (tackle by Alex Lewis). Penalty on DET: Defensive 12 On-field, 5 yards (no play)",4.040,4.860
1,4:53,1,5,DET 18,7,3,Edgerrin James up the middle for 6 yards (tackle by Bracy Walker),4.860,4.780
1,4:25,1,10,DET 12,13,3,"Peyton Manning pass complete to Brandon Stokley for 12 yards, touchdown",4.780,7.000
1,,,,DET 2,13,3,Mike Vanderjagt kicks extra point no good,0.000,-1.000
1,,,,IND 30,13,3,"Jason Baker kicks off 70 yards, returned by Eddie Drummond for 29 yards (tackle by David Thornton)",0.000,0.870
1,4:13,1,10,DET 29,13,3,Kevin Jones right end for 40 yards (tackle by Nick Harper),0.870,3.510
1,3:28,1,10,IND 31,13,3,Joey Harrington pass complete to Tai Streets for 5 yards (tackle by Jason David),3.510,3.640
1,2:51,2,5,IND 26,13,3,Shawn Bryson up the middle for 3 yards (tackle by Idrees Bashir),3.640,3.340
1,2:14,3,2,IND 23,13,3,Joey Harrington pass complete to Stephen Alexander for 4 yards (tackle by Idrees Bashir),3.340,4.310
1,1:46,1,10,IND 19,13,3,Joey Harrington pass incomplete intended for Roy E. Williams,4.310,3.750
1,1:37,2,10,IND 19,13,3,Kevin Jones left tackle for 3 yards (tackle by Raheem Brock),3.750,3.410
1,0:59,3,7,IND 16,13,3,Joey Harrington pass incomplete intended for Roy E. Williams,3.410,2.380
1,0:53,4,7,IND 16,13,6,Jason Hanson 34 yard field goal good,2.380,3.000
1,,,,DET 30,13,6,"Jason Hanson kicks off 73 yards, returned by Dominic Rhodes for 25 yards (tackle by Andre' Goodman)",0.000,0.410
1,0:43,1,10,IND 22,13,6,"Peyton Manning pass incomplete intended for Reggie Wayne. Penalty on Dre' Bly: Defensive Holding, 5 yards (no play)",0.410,0.740
1,0:37,1,10,IND 27,13,6,Reggie Wayne for -4 yards (tackle by Fernando Bryant),0.740,-0.340
1,0:16,2,14,IND 23,13,6,Edgerrin James up the middle for 12 yards (tackle by Teddy Lehman),-0.340,0.560
Quarter,Time,Down,ToGo,Location,IND,DET,Detail,EPB,EPA
