Quarter,Time,Down,ToGo,Location,CLE,BUF,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Bills won the coin toss and deferred, Browns to receive the opening kickoff.",,
1,15:00,,,BUF 35,0,0,"Tyler Bass kicks off 61 yards, returned by Jerome Ford for 21 yards (tackle by Nyheim Hines)",0.000,0.610
1,14:52,1,10,CLE 25,0,0,Jacoby Brissett pass complete short right to Nick Chubb for 17 yards (tackle by Tyrel Dodson and Matt Milano),0.610,1.730
1,14:08,1,10,CLE 42,0,0,Nick Chubb left tackle for 3 yards (tackle by DaQuan Jones),1.730,1.590
1,13:32,2,7,CLE 45,0,0,Nick Chubb up the middle for -4 yards (tackle by Ed Oliver),1.590,0.370
1,12:54,3,11,CLE 41,0,0,Jacoby Brissett scrambles up the middle for 22 yards (tackle by Damar Hamlin and Jordan Poyer),0.370,3.120
1,12:06,1,10,BUF 37,0,0,Nick Chubb right tackle for 3 yards (tackle by Tyrel Dodson),3.120,2.980
1,11:28,2,7,BUF 34,0,0,Jacoby Brissett pass complete short right to David Njoku for -4 yards (tackle by Jordan Poyer),2.980,1.750
1,10:42,3,11,BUF 38,0,0,Jacoby Brissett pass complete short middle to Amari Cooper for 16 yards (tackle by Taron Johnson),1.750,4.110
1,9:56,1,10,BUF 22,0,0,Nick Chubb left tackle for -3 yards (tackle by Ed Oliver and Von Miller),4.110,3.160
1,9:08,2,13,BUF 25,6,0,"Jacoby Brissett pass complete deep right to Amari Cooper for 25 yards, touchdown",3.160,7.000
1,9:02,,,BUF 15,7,0,Cade York kicks extra point good,0.000,0.000
1,9:02,,,CLE 35,7,0,"Cade York kicks off 62 yards, returned by Nyheim Hines for 32 yards (tackle by Greedy Williams)",0.000,1.270
1,8:56,1,10,BUF 35,7,0,Josh Allen pass complete short middle to Devin Singletary for 5 yards (tackle by Jeremiah Owusu-Koramoah),1.270,1.400
1,8:22,2,5,BUF 40,7,0,Josh Allen up the middle for 2 yards (tackle by Myles Garrett),1.400,0.960
1,7:41,3,3,BUF 42,7,0,Josh Allen pass incomplete short right,0.960,-0.590
1,7:32,4,3,BUF 42,7,0,"Sam Martin punts 47 yards, fair catch by Donovan Peoples-Jones at CLE-11",-0.590,0.370
1,7:25,1,10,CLE 11,7,0,Nick Chubb right tackle for 4 yards (tackle by Tim Settle and Matt Milano),-0.370,-0.430
1,6:46,2,6,CLE 15,7,0,Jacoby Brissett pass incomplete deep right intended for David Njoku (defended by Jordan Poyer),-0.430,-0.950
