Quarter,Time,Tm,Detail,CLE,BUF
1.0,9:02,Browns,Amari Cooper 25 yard pass from Jacoby Brissett (Cade York kick),7,0
,3:32,Bills,Tyler Bass 42 yard field goal,7,3
2.0,14:05,Browns,Cade York 32 yard field goal,10,3
,4:54,Bills,Tyler Bass 36 yard field goal,10,6
,0:14,Bills,Stefon Diggs 5 yard pass from Josh Allen (Tyler Bass kick),10,13
3.0,9:42,Bills,Tyler Bass 56 yard field goal,10,16
,4:08,Bills,Devin Singletary 5 yard rush (run failed),10,22
4.0,13:20,Bills,Tyler Bass 49 yard field goal,10,25
,6:45,Bills,Tyler Bass 28 yard field goal,10,28
,4:11,Browns,Amari Cooper 7 yard pass from Jacoby Brissett (pass failed),16,28
,1:56,Bills,Tyler Bass 39 yard field goal,16,31
,0:19,Browns,Donovan Peoples-Jones 2 yard pass from Jacoby Brissett (Cade York kick),23,31
