Unnamed: 0,OAK,SDG
First Downs,19,28
Rush-Yds-TDs,26-130-1,21-90-0
Cmp-Att-Yd-TD-INT,24-31-289-3-0,38-58-336-3-2
Sacked-Yards,1-7,1-9
Net Pass Yards,282,327
Total Yards,412,417
Fumbles-Lost,0-0,1-0
Turnovers,0,2
Penalties-Yards,14-136,9-86
Third Down Conv.,5-12,8-16
Fourth Down Conv.,0-0,0-0
Time of Possession,30:49,29:11
