Quarter,Time,Tm,Detail,OAK,SDG
1.0,12:46,Raiders,Latavius Murray 1 yard rush (Sebastian Janikowski kick),7,0
,5:21,Raiders,Sebastian Janikowski 29 yard field goal,10,0
,1:18,Chargers,Josh Lambo 40 yard field goal,10,3
2.0,13:06,Raiders,Clive Walford 23 yard pass from Derek Carr (Sebastian Janikowski kick),17,3
,9:28,Raiders,Sebastian Janikowski 32 yard field goal,20,3
,4:41,Raiders,Sebastian Janikowski 31 yard field goal,23,3
,1:01,Raiders,Amari Cooper 52 yard pass from Derek Carr (Sebastian Janikowski kick),30,3
,0:00,Chargers,Josh Lambo 44 yard field goal,30,6
3.0,10:41,Raiders,Michael Crabtree 25 yard pass from Derek Carr (Sebastian Janikowski kick),37,6
4.0,12:58,Chargers,Ladarius Green 31 yard pass from Philip Rivers (Josh Lambo kick),37,13
,6:00,Chargers,Danny Woodhead 8 yard pass from Philip Rivers (Ladarius Green pass from Philip Rivers),37,21
,0:06,Chargers,Danny Woodhead 6 yard pass from Philip Rivers (Ladarius Green pass from Philip Rivers),37,29
