Unnamed: 0,ARI,STL
First Downs,24,24
Rush-Yds-TDs,31-102-1,23-123-0
Cmp-Att-Yd-TD-INT,21-41-290-1-2,24-43-262-3-3
Sacked-Yards,1-9,2-10
Net Pass Yards,281,252
Total Yards,383,375
Fumbles-Lost,2-0,0-0
Turnovers,2,3
Penalties-Yards,11-98,9-86
Third Down Conv.,5-13,5-13
Fourth Down Conv.,1-1,0-0
Time of Possession,30:51,29:09
