Unnamed: 0,PHI,DET
First Downs,24,22
Rush-Yds-TDs,29-162-3,26-115-2
Cmp-Att-Yd-TD-INT,21-34-284-2-0,25-45-335-2-2
Sacked-Yards,5-36,2-6
Net Pass Yards,248,329
Total Yards,410,444
Fumbles-Lost,2-0,1-0
Turnovers,0,2
Penalties-Yards,9-75,9-51
Third Down Conv.,6-14,6-15
Fourth Down Conv.,0-0,0-2
Time of Possession,30:52,29:08
