Quarter,Time,Down,ToGo,Location,PHI,DET,Detail,EPB,EPA
2,14:13,3,10,PHI 43,7,7,"Shaun Hill right tackle for 4 yards (tackle by Ernie Sims). Penalty on Dimitri Patterson: Defensive Holding, 5 yards",1.490,3.310
2,13:58,1,10,PHI 34,7,7,"Penalty on Stephen Peterman: False Start, 5 yards (no play)",3.310,2.980
2,13:40,1,15,PHI 39,7,7,Jahvid Best middle for -2 yards (tackle by Omar Gaither),2.980,1.830
2,13:15,2,17,PHI 41,7,7,Shaun Hill pass complete short right to Brandon Pettigrew for 10 yards (tackle by Akeem Jordan and Asante Samuel),1.830,2.480
2,12:37,3,7,PHI 31,7,7,Shaun Hill pass incomplete short left intended for Tony Scheffler (defended by Trent Cole),2.480,1.320
2,12:33,4,7,PHI 31,7,10,Jason Hanson 49 yard field goal good,1.320,3.000
2,,,,DET 30,7,10,"Jason Hanson kicks off 56 yards, returned by Mike Bell for 8 yards (tackle by Zack Follett)",0.000,0.410
2,12:24,1,10,PHI 22,7,10,Michael Vick pass complete short left to Jason Avant for 7 yards (tackle by Landon Johnson and Kyle Vanden Bosch),0.410,0.810
2,11:43,2,3,PHI 29,7,10,LeSean McCoy middle for 4 yards (tackle by C.C. Brown),0.810,1.140
2,11:10,1,10,PHI 33,7,10,Mike Bell middle for 4 yards (tackle by Kyle Vanden Bosch and Ashlee Palmer),1.140,1.130
2,10:33,2,6,PHI 37,7,10,DeSean Jackson right end for 5 yards (tackle by Chris Houston and Louis Delmas),1.130,1.090
2,9:59,3,1,PHI 42,7,10,"Penalty on Nick Cole: False Start, 5 yards (no play)",1.090,0.430
2,9:47,,,,7,10,Timeout #1 by Philadelphia Eagles,0.000,0.430
2,9:47,3,6,PHI 37,7,10,Michael Vick pass incomplete short middle intended for Jason Avant,0.430,-0.910
2,9:43,4,6,PHI 37,7,10,"Saverio Rocca punts 63 yards, touchback",-0.910,-0.280
2,9:30,1,10,DET 20,7,10,Jahvid Best for 1 yard (tackle by Akeem Jordan),0.280,-0.130
2,9:04,2,9,DET 21,7,10,Shaun Hill pass complete short left to Bryant Johnson for 4 yards (tackle by Asante Samuel and Ellis Hobbs),-0.130,-0.300
2,8:30,3,5,DET 25,7,16,"Shaun Hill pass complete short right to Jahvid Best for 75 yards, touchdown",-0.300,7.000
2,,,,PHI 2,7,17,Jason Hanson kicks extra point good,0.000,0.000
2,,,,DET 30,7,17,"Jason Hanson kicks off 66 yards, returned by Ellis Hobbs for 22 yards (tackle by Ashlee Palmer)",0.000,0.670
2,8:10,1,10,PHI 26,7,17,Michael Vick pass complete short left to Owen Schmitt for 8 yards (tackle by Jonathan Wade),0.670,1.210
2,7:30,2,2,PHI 34,7,17,Michael Vick pass complete short left to Brent Celek for 8 yards (tackle by Jonathan Wade),1.210,1.730
2,6:55,1,10,PHI 42,7,17,Mike Bell left tackle for 1 yard (tackle by Ndamukong Suh),1.730,1.320
2,6:14,2,9,PHI 43,7,17,Michael Vick pass incomplete short right intended for Jeremy Maclin,1.320,0.630
2,6:08,3,9,PHI 43,7,17,Michael Vick pass complete short right to Riley Cooper for 20 yards (tackle by C.C. Brown),0.630,3.120
2,5:26,1,10,DET 37,7,17,Michael Vick pass incomplete deep middle intended for DeSean Jackson (defended by Jonathan Wade),3.120,2.570
2,5:22,2,10,DET 37,7,17,Michael Vick pass incomplete deep left intended for Jason Avant,2.570,1.880
2,5:16,3,10,DET 37,7,17,Michael Vick left tackle for 10 yards (tackle by Ndamukong Suh),1.880,3.780
2,4:43,1,10,DET 27,7,17,Michael Vick pass complete short left to Owen Schmitt for 13 yards (tackle by Jonathan Wade),3.780,4.650
2,4:03,1,10,DET 14,7,17,Michael Vick pass incomplete short middle intended for Brent Celek,4.650,4.000
2,3:58,2,10,DET 14,13,17,"LeSean McCoy middle for 14 yards, touchdown",4.000,7.000
2,,,,DET 2,14,17,David Akers kicks extra point good,0.000,0.000
2,,,,PHI 30,14,17,"David Akers kicks off 68 yards, returned by Stefan Logan for 15 yards (tackle by Dimitri Patterson)",0.000,-0.060
2,3:46,1,10,DET 17,14,17,Jahvid Best right end for -4 yards (tackle by Quintin Mikell),-0.060,-1.060
2,3:12,2,14,DET 13,14,17,Shaun Hill middle for 13 yards (tackle by Nate Allen),-1.060,-0.120
2,2:40,3,1,DET 26,14,17,Jahvid Best left end for 8 yards (tackle by Quintin Mikell),-0.120,1.200
2,2:00,1,10,DET 34,14,17,Shaun Hill pass incomplete short left intended for Bryant Johnson,1.200,0.660
2,1:55,2,10,DET 34,14,17,Shaun Hill pass complete short right to Tony Scheffler for 5 yards (tackle by Joselio Hanson),0.660,0.630
2,1:33,3,5,DET 39,14,17,Shaun Hill pass incomplete deep right intended for Calvin Johnson (defended by Quintin Mikell),0.630,-0.780
2,1:20,4,5,DET 39,14,17,"Nick Harris punts 50 yards, fair catch by DeSean Jackson",-0.780,0.370
2,1:12,1,10,PHI 11,14,17,LeSean McCoy middle for 11 yards (tackle by Louis Delmas),-0.370,0.410
2,0:56,,,,14,17,Timeout #1 by Detroit Lions,0.000,0.410
2,0:56,1,10,PHI 22,14,17,Michael Vick pass complete short middle to Jason Avant for 8 yards (tackle by Alphonso Smith and Julian Peterson),0.410,0.950
2,0:51,,,,14,17,Timeout #2 by Philadelphia Eagles,0.000,0.950
2,0:51,2,2,PHI 30,14,17,Michael Vick pass complete deep middle to DeSean Jackson for 53 yards (tackle by Randy Phillips),0.950,4.440
2,0:37,,,,14,17,Timeout #2 by Detroit Lions,0.000,4.440
2,0:37,1,10,DET 17,14,17,Michael Vick pass incomplete short right intended for Riley Cooper,4.440,3.850
2,0:33,2,10,DET 17,14,17,Michael Vick for 12 yards (tackle by Alphonso Smith),3.850,6.060
2,0:25,1,5,DET 5,14,17,Michael Vick pass complete short left to LeSean McCoy for -4 yards (tackle by Jonathan Wade),6.060,4.380
2,0:18,,,,14,17,Timeout #3 by Philadelphia Eagles,0.000,4.380
2,0:18,2,9,DET 9,20,17,"Michael Vick pass complete short right to Jeremy Maclin for 9 yards, touchdown",4.380,7.000
2,,,,DET 2,21,17,David Akers kicks extra point good,0.000,0.000
2,,,,PHI 30,21,17,"David Akers kicks off 65 yards, returned by Stefan Logan for 20 yards (tackle by Kurt Coleman)",0.000,0.610
2,0:07,1,10,DET 25,21,17,Shaun Hill kneels for -1 yards,0.610,-0.070
Quarter,Time,Down,ToGo,Location,PHI,DET,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,DET 30,21,17,"Jason Hanson kicks off 65 yards, returned by Ellis Hobbs for 15 yards (tackle by John Wendling)",0.000,0.280
3,14:54,1,10,PHI 20,21,17,Michael Vick pass complete short left to Jeremy Maclin for 11 yards (tackle by Jonathan Wade),0.280,1.000
3,14:28,1,10,PHI 31,21,17,Michael Vick pass complete short left to DeSean Jackson for 8 yards (tackle by Jonathan Wade),1.000,1.540
3,13:51,2,2,PHI 39,21,17,LeSean McCoy left end for 7 yards (tackle by Louis Delmas),1.540,1.990
3,13:13,1,10,PHI 46,21,17,Mike Bell right tackle for -3 yards (tackle by Ndamukong Suh and Chris Houston),1.990,1.050
3,12:33,2,13,PHI 43,21,17,Michael Vick pass incomplete short right intended for Jeremy Maclin,1.050,0.370
3,12:28,3,13,PHI 43,21,17,Michael Vick sacked by Sammie Lee Hill and Kyle Vanden Bosch for -4 yards,0.370,-0.780
3,12:05,4,17,PHI 39,21,17,"Saverio Rocca punts 40 yards, fair catch by Stefan Logan. Penalty on Kurt Coleman: Fair Catch Interference, 15 yards, Penalty on Jamar Chaney: Ineligible Downfield Kic (Declined)",-0.780,-1.330
3,11:51,1,10,DET 36,21,17,Jahvid Best right end for -3 yards (tackle by Mike Patterson),1.330,0.390
3,11:16,2,13,DET 33,21,17,Shaun Hill pass complete short right to Jahvid Best for 2 yards (tackle by Asante Samuel),0.390,-0.030
3,10:48,3,11,DET 35,21,17,Shaun Hill pass incomplete short middle intended for Calvin Johnson,-0.030,-1.040
3,10:44,4,11,DET 35,21,17,"Nick Harris punts 43 yards, returned by DeSean Jackson for 13 yards (tackle by Isaiah Ekejiuba)",-1.040,-1.270
3,10:32,1,10,PHI 35,21,17,Michael Vick pass complete short left to LeSean McCoy for 3 yards (tackle by Zack Follett),1.270,1.130
3,9:48,2,7,PHI 38,21,17,Michael Vick sacked by Ndamukong Suh for -7 yards,1.130,-0.490
3,9:21,3,14,PHI 31,21,17,Michael Vick pass complete deep right to DeSean Jackson for 29 yards (tackle by C.C. Brown),-0.490,2.920
3,8:53,1,10,DET 40,21,17,LeSean McCoy left tackle for 5 yards (tackle by Lawrence Jackson),2.920,3.050
3,8:13,2,5,DET 35,21,17,Michael Vick pass complete short left to Jeremy Maclin for 6 yards (tackle by Louis Delmas),3.050,3.640
3,7:37,1,10,DET 29,21,17,Michael Vick pass complete short right to Brent Celek for 8 yards (tackle by C.C. Brown),3.640,4.180
3,6:55,2,2,DET 21,21,17,LeSean McCoy left tackle for 1 yard (tackle by Zack Follett and Lawrence Jackson),4.180,3.600
3,6:22,3,1,DET 20,21,17,"LeSean McCoy right end for 12 yards (tackle by Louis Delmas). Penalty on Louis Delmas: Horse Collar Tackle, 4 yards",3.600,6.280
3,5:59,1,4,DET 4,27,17,"LeSean McCoy middle for 4 yards, touchdown",6.280,7.000
3,,,,DET 2,28,17,David Akers kicks extra point good,0.000,0.000
3,,,,PHI 30,28,17,"David Akers kicks off 73 yards, returned by Stefan Logan for 27 yards (tackle by Dimitri Patterson)",0.000,0.540
3,5:46,1,10,DET 24,28,17,Shaun Hill pass complete deep left to Brandon Pettigrew for 24 yards (tackle by Nate Allen),0.540,2.130
3,5:10,1,10,DET 48,28,17,Maurice Morris left tackle for 2 yards (tackle by Mike Patterson),2.130,1.850
3,4:41,2,8,,28,17,Maurice Morris middle for 1 yard (tackle by Omar Gaither),1.850,1.290
